games: 11, white: 9%, black: 90%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O Rc8 8. Na3 f6 
games: 13, white: 15%, black: 84%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 f6 7. exf6 Nxf6 8. a3 Be7 
games: 10, white: 10%, black: 80%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. c4 dxc4 8. Bxc4 Nxe5 
games: 18, white: 22%, black: 77%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. O-O dxc3 8. Nxc3 a6 
games: 27, white: 18%, black: 74%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 f6 7. exf6 Nxf6 8. a3 Be7 9. O-O
games: 66, white: 28%, black: 71%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. O-O dxc3 8. Nxc3
games: 20, white: 30%, black: 70%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 cxd4 7. cxd4 Nge7 8. b3 Nf5 9. Bb2 a5 
games: 20, white: 30%, black: 70%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nh6 7. b3 cxd4 8. cxd4 Nf5 9. Bb2 a5 
games: 20, white: 30%, black: 70%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Nge7 7. b3 cxd4 8. cxd4 Nf5 9. Bb2 a5 
games: 27, white: 29%, black: 70%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. b3 cxd4 8. cxd4 Rc8 
games: 17, white: 29%, black: 70%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. a3 a5 8. O-O f6 9. Re1 Be7 
