games: 12, white: 16%, black: 83%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. a4 Bd7 8. Bb5 Rc8 9. O-O Nh6 
games: 13, white: 23%, black: 76%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. b3 Bd7 8. Be2 Nh6 9. Bxh6
games: 114, white: 22%, black: 73%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. h4 f6 
games: 13, white: 23%, black: 69%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Qc2 Na5 8. Nbd2 Bd7 9. h4 h5 
games: 11, white: 18%, black: 63%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. O-O a5 9. Re1 Nh6 
games: 37, white: 27%, black: 70%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. h4 f6 8. g3 fxe5 
games: 45, white: 26%, black: 68%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Bd3 a5 8. O-O cxd4 9. Re1 Bc5 
games: 45, white: 26%, black: 68%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. Bd3 Bd7 8. O-O cxd4 9. Re1 Bc5 
games: 17, white: 29%, black: 70%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 a5 8. O-O f6 9. Re1 Be7 
games: 17, white: 29%, black: 70%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. Be2 f6 8. O-O Bd7 9. Re1 Be7 
games: 39, white: 28%, black: 69%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. h4 f6 8. g3
games: 61, white: 27%, black: 65%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. b3 Bd7 8. Be2 Nh6 
games: 29, white: 27%, black: 65%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 a5 8. O-O a4 9. Re1 c4 
games: 16, white: 31%, black: 68%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 a5 8. a4 Nge7 9. O-O cxd4 
games: 16, white: 31%, black: 68%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. b3 Bd7 8. Be2 Nh6 9. Bxh6 gxh6 
games: 16, white: 31%, black: 68%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 a5 7. a4 Bd7 8. Be2 Nge7 9. O-O cxd4 
games: 53, white: 30%, black: 67%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Nbd2 Na5 8. Be2 Bd7 9. a4 h6 
