games: 13, white: 23%, black: 76%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. c4 c6 6. dxc6 Bd6 
games: 13, white: 23%, black: 76%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 c6 5. c4 Nf6 6. dxc6 Bd6 
games: 10, white: 30%, black: 70%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Nc3 Bd6 6. Bc4 O-O 7. Nge2 Ng4 
games: 20, white: 25%, black: 70%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 c6 6. d4 cxd5 7. Bd3 Bd6 
games: 20, white: 25%, black: 70%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. Nf3 c6 6. d4 cxd5 7. Bd3 Bd6 
games: 16, white: 31%, black: 68%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. d4 Nf6 5. Bxf4 Nxd5 6. Bd2 Qh4+ 
games: 19, white: 31%, black: 68%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. Nc3 Qe7+ 7. Kf1 Nb6 
games: 16, white: 31%, black: 68%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. Qe2+ Be6 7. O-O c6 
games: 19, white: 31%, black: 68%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Nxd5 6. Bc4 Qe7+ 7. Kf1 Nb6 
games: 19, white: 31%, black: 68%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. Nf3 Nxd5 6. Nc3 Qe7+ 7. Kf1 Nb6 
games: 16, white: 31%, black: 68%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. Nf3 Nxd5 6. Qe2+ Be6 7. O-O c6 
games: 32, white: 28%, black: 68%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nc3 Qh4+ 5. Ke2 Bg4+ 6. Nf3 Bxf3+ 
games: 173, white: 21%, black: 68%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. Nc3 Nxc3 7. bxc3 Qe7+ 
games: 173, white: 21%, black: 68%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Nxd5 6. Bc4 Nxc3 7. bxc3 Qe7+ 
games: 173, white: 21%, black: 68%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Bc4 Nf6 5. Nf3 Nxd5 6. Nc3 Nxc3 7. bxc3 Qe7+ 
