games: 16, white: 18%, black: 81%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 g6 5. f4 c6 6. Nf3 b5 
games: 16, white: 18%, black: 68%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. Nf3 c6 6. a4 Ng4 
games: 16, white: 18%, black: 68%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 c6 5. Nf3 e5 6. a4 Ng4 
games: 25, white: 24%, black: 72%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. Qd2 c6 6. O-O-O Ng4 
games: 25, white: 24%, black: 72%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 c6 5. Qd2 e5 6. O-O-O Ng4 
games: 11, white: 27%, black: 72%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f4 c5 5. d5 a6 6. a4 e5 
games: 10, white: 30%, black: 70%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Nf3 e5 5. g4 g6 6. Bc4 Nb6 
games: 108, white: 30%, black: 68%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. d5 c6 6. Be2 Be7 
games: 24, white: 29%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. f3 h5 6. Bc4 c6 
games: 24, white: 29%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f3 e5 5. Be3 h5 6. Bc4 c6 
games: 22, white: 27%, black: 63%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Bc4 e5 5. Be3 h6 
games: 17, white: 29%, black: 64%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f3 e5 5. Nge2 h5 6. h4 c6 
games: 69, white: 31%, black: 65%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. Qd2 Be7 6. O-O-O Ng4 
games: 29, white: 31%, black: 65%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. Qd2 c6 6. h3 b5 
games: 29, white: 31%, black: 65%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 c6 5. Qd2 e5 6. h3 b5 
games: 30, white: 33%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Nf3 e5 5. Bc4 Be7 6. h3 Nb6 
games: 30, white: 33%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Nf3 e5 5. h3 Be7 6. Bc4 Nb6 
games: 18, white: 33%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. d5 Be7 6. g4 O-O 
games: 30, white: 33%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Bc4 e5 5. Nf3 Be7 6. h3 Nb6 
games: 48, white: 31%, black: 64%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. Nf3 c6 6. Bc4 Qc7 
games: 48, white: 31%, black: 64%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 c6 5. Nf3 e5 6. Bc4 Qc7 
games: 19, white: 31%, black: 63%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f3 c6 5. Nge2 Qc7 
games: 19, white: 31%, black: 63%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Nf3 e5 5. h3 c6 6. g4 b5 
games: 48, white: 31%, black: 62%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. d5 Be7 6. f3 c5 
games: 41, white: 34%, black: 63%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f4 e5 5. dxe5 dxe5 6. Bd3 Bc5 
games: 32, white: 31%, black: 59%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Bc4 e5 5. dxe5 dxe5 6. Bg5 Bc5 
games: 19, white: 36%, black: 63%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Bc4 e5 5. Nge2 Be7 6. f4 c6 
games: 33, white: 33%, black: 60%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f3 c5 5. Be3 cxd4 6. Bxd4 e5 
games: 31, white: 35%, black: 61%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. f3 h5 6. Bc4
games: 31, white: 35%, black: 61%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f3 e5 5. Be3 h5 6. Bc4
games: 38, white: 34%, black: 60%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 c6 5. f3 b5 6. Bd3 e5 
games: 38, white: 34%, black: 60%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f3 c6 5. Be3 b5 6. Bd3 e5 
games: 36, white: 36%, black: 61%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Bc4 e5 5. dxe5 dxe5 6. Bb3 c6 
games: 56, white: 33%, black: 58%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Nf3 e5 5. h3 c6 6. a4 h6 
games: 13, white: 38%, black: 61%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Bc4 e6 5. f4 c5 
games: 18, white: 38%, black: 61%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 c6 5. f3 b5 6. a3 Bb7 
games: 18, white: 38%, black: 61%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f3 c6 5. Be3 b5 6. a3 Bb7 
games: 48, white: 37%, black: 60%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. Nge2 Ng4 6. Bc1 c6 
games: 23, white: 30%, black: 52%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f3 g6 5. Bg5 c6 6. Qd2 Qc7 
games: 33, white: 39%, black: 60%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. f4 c5 5. Nf3 cxd4 6. Qxd4 e5 
games: 42, white: 38%, black: 59%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. Be3 e5 5. d5 c6 6. Qd2 cxd5 
