games: 14, white: 14%, black: 78%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. f4 exd4 5. Qxd4 Nc6 6. Qd3 d5 
games: 16, white: 18%, black: 68%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Be3 Nbd7 5. Nf3 c6 6. a4 Ng4 
games: 25, white: 24%, black: 72%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Be3 Nbd7 5. Qd2 c6 6. O-O-O Ng4 
games: 19, white: 21%, black: 68%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Be3 Nc6 5. d5 Ne7 6. h3 g6 
games: 32, white: 21%, black: 65%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nge2 Nbd7 5. g3 b5 6. Bg2 Bb7 
games: 10, white: 30%, black: 70%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. g4 g6 6. Bc4 Nb6 
games: 40, white: 22%, black: 62%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nge2 Be7 5. g3 c6 6. Bg2 h5 
games: 13, white: 30%, black: 69%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nge2 Be7 5. h3 O-O 6. g3 c5 
games: 13, white: 30%, black: 69%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nge2 Be7 5. g3 O-O 6. h3 c5 
games: 108, white: 30%, black: 68%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Be3 Nbd7 5. d5 c6 6. Be2 Be7 
games: 24, white: 29%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Be3 Nbd7 5. f3 h5 6. Bc4 c6 
games: 17, white: 29%, black: 64%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nge2 Nbd7 5. f3 h5 6. h4 c6 
games: 69, white: 31%, black: 65%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Be3 Nbd7 5. Qd2 Be7 6. O-O-O Ng4 
games: 29, white: 31%, black: 65%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Be3 Nbd7 5. Qd2 c6 6. h3 b5 
games: 30, white: 33%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. h3 Nb6 
games: 30, white: 33%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. h3 Be7 6. Bc4 Nb6 
games: 24, white: 33%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nge2 Nbd7 5. g3 Be7 6. Bg2 a6 
games: 18, white: 33%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Be3 Nbd7 5. d5 Be7 6. g4 O-O 
games: 18, white: 33%, black: 66%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Be3 Be7 5. f3 O-O 6. Qd2 c5 
games: 48, white: 31%, black: 64%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Be3 Nbd7 5. Nf3 c6 6. Bc4 Qc7 
