games: 11, white: 27%, black: 63%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. e5 h6 
games: 20, white: 30%, black: 55%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. g4 b5 
games: 40, white: 37%, black: 60%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Bc4 Nxe4 6. Nxe4
games: 43, white: 37%, black: 58%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 a6 5. Nge2
games: 20, white: 40%, black: 60%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 Nbd7 5. f3 c6 6. Bd3
games: 20, white: 40%, black: 60%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 c6 5. Bg5 Nbd7 6. Bd3
games: 20, white: 40%, black: 60%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Nbd7 5. Bg5 c6 6. Bd3
games: 166, white: 37%, black: 57%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Be2 c5 6. dxc5
games: 21, white: 38%, black: 57%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 c6 5. e5 Qa5 
games: 72, white: 38%, black: 56%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Bc4 d5 
games: 65, white: 36%, black: 53%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Be2 c5 6. Be3
games: 515, white: 39%, black: 55%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Be2 c5 
games: 313, white: 38%, black: 54%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Bc4 c5 
games: 90, white: 38%, black: 54%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Bg7 5. Bc4 Nbd7 
games: 37, white: 40%, black: 54%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bg5 Nbd7 5. f3 h6 
games: 37, white: 40%, black: 54%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f3 Nbd7 5. Bg5 h6 
games: 275, white: 40%, black: 54%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Bd3 O-O 6. Be3
games: 486, white: 40%, black: 54%, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Be2 c5 6. d5
