games: 15, white: 6%, black: 86%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 bxc6 5. Nc3 d6 6. O-O c5 
games: 16, white: 25%, black: 75%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. Qe2 Bc5 6. O-O Qe7 
games: 11, white: 27%, black: 72%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. Nc3 Qf6 6. d3 Ne7 
games: 14, white: 28%, black: 71%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Bc5 5. c3 Nge7 6. Qe2 Ba7 
games: 14, white: 21%, black: 64%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 Qd6 6. h3 Ne7 
games: 14, white: 21%, black: 64%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. h3 Qd6 6. d3 Ne7 
games: 17, white: 23%, black: 64%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. Bxc6+ bxc6 6. h3 c5 
games: 19, white: 31%, black: 68%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. Nc3 Qf6 6. d3 Bd6 
games: 56, white: 30%, black: 66%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. O-O Bg4 6. d3 f6 7. Re1
games: 56, white: 30%, black: 66%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. O-O f6 6. d3 Bg4 7. Re1
games: 56, white: 30%, black: 66%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 f6 6. O-O Bg4 7. Re1
games: 11, white: 27%, black: 63%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. Qe2 b5 
games: 12, white: 33%, black: 66%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. Qe2 Nd6 
games: 133, white: 32%, black: 64%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. O-O Bd7 6. Re1 g5 
games: 25, white: 32%, black: 64%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Bc5 5. d3 Qf6 6. O-O h6 7. Be3
games: 13, white: 30%, black: 61%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 bxc6 5. O-O d6 6. d3 Ne7 
games: 67, white: 31%, black: 61%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d4 f6 6. Nc3 Bb4 7. dxe5
games: 67, white: 31%, black: 61%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. Nc3 f6 6. d4 Bb4 7. dxe5
games: 10, white: 30%, black: 60%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nge7 5. Nc3 Ng6 6. h4 d6 
games: 10, white: 30%, black: 60%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. h3 Qd6 6. O-O Be6 7. b3
games: 236, white: 31%, black: 60%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 f6 6. h3 Bd6 7. O-O
games: 236, white: 31%, black: 60%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 Bd6 6. h3 f6 7. O-O
games: 236, white: 31%, black: 60%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. h3 f6 6. d3 Bd6 7. O-O
games: 17, white: 29%, black: 58%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. Nc3 Qf6 6. h3 Bd7 
games: 14, white: 28%, black: 57%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. h3 f6 6. c3 Ne7 
