games: 89638, white: 49%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 
games: 88133, white: 49%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2
games: 76762, white: 49%, black: 42%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 
games: 76762, white: 49%, black: 42%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. Bg2 Bg7 
games: 47737, white: 52%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3
games: 47737, white: 52%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. Bg2 Bg7 6. Be3
games: 39395, white: 47%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 
games: 38969, white: 50%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. Be3 d6 
games: 38969, white: 50%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 d6 6. Be3 Bg7 
games: 38969, white: 50%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 d6 5. d3 g6 6. Be3 Bg7 
games: 38969, white: 50%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. Bg2 Bg7 6. Be3 d6 
games: 38969, white: 50%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. Bg2 d6 6. Be3 Bg7 
games: 36421, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. Nge2 Bg7 
games: 36192, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 a6 5. d4 cxd4 6. Nxd4 Qc7 
games: 36192, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nf3 a6 5. d4 cxd4 6. Nxd4 Qc7 
games: 23753, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. Nge2 Bg7 6. d3
games: 23701, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. d3
games: 23701, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nf6 5. Bg2
games: 23609, white: 49%, black: 41%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2
games: 23527, white: 46%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. f4 d6 
games: 23527, white: 46%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. f4 d6 6. d3 Bg7 
games: 23527, white: 46%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. Bg2 Bg7 6. f4 d6 
games: 23527, white: 46%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. f4 Bg7 6. Bg2 d6 
games: 23527, white: 46%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. f4 g6 5. Bg2 d6 6. d3 Bg7 
games: 22938, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Nge7 6. Nge2 Bg7 
games: 22938, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. Nge2 Bg7 6. d3 Nge7 
games: 22938, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. Nge2 Nge7 6. d3 Bg7 
games: 22938, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 5. d3 g6 6. Nge2 Bg7 
games: 22938, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 5. Nge2 g6 6. d3 Bg7 
games: 22938, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. Bg2 Nge7 6. Nge2 Bg7 
games: 22938, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nge7 5. Bg2 g6 6. Nge2 Bg7 
games: 22938, white: 47%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 Nge7 5. Bg2 g6 6. d3 Bg7 
games: 22629, white: 51%, black: 42%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 a6 
games: 21257, white: 49%, black: 42%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. Nge2
games: 21257, white: 49%, black: 42%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 Nf6 5. Bg2
games: 21191, white: 45%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. Nge2 Bg7 6. O-O
games: 21051, white: 45%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. Nge2 Bg7 6. O-O Nge7 
games: 21051, white: 45%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. Nge2 Nge7 6. O-O Bg7 
games: 21051, white: 45%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 5. Nge2 g6 6. O-O Bg7 
games: 21051, white: 45%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Nge2 Nge7 5. Bg2 g6 6. O-O Bg7 
games: 20766, white: 48%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 
games: 19372, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nf6 5. d3 d5 
games: 19372, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 d5 5. Bg2 Nf6 
games: 19372, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nf6 5. Bg2 d5 
games: 17807, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. f4
games: 17807, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. Bg2 Bg7 6. f4
games: 17807, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. f4 Bg7 6. Bg2
games: 16768, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Bg7 6. f4 Nge7 
games: 16768, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. d3 Nge7 6. f4 Bg7 
games: 16768, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 g6 5. f4 Nge7 6. d3 Bg7 
games: 16768, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 5. d3 g6 6. f4 Bg7 
games: 16768, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. Bg2 Nge7 5. f4 g6 6. d3 Bg7 
games: 16768, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. Bg2 Bg7 6. f4 Nge7 
games: 16768, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. Bg2 Nge7 6. f4 Bg7 
games: 16768, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 g6 5. f4 Bg7 6. Bg2 Nge7 
games: 16768, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 e6 4. d3 Nge7 5. Bg2 g6 6. f4 Bg7 
