games: 12679, white: 41%, black: 52%, forced: 0, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 
games: 290, white: 40%, black: 55%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bb5 Ne7 8. d4 O-O 9. O-O
games: 169, white: 36%, black: 59%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bc4 Nf6 
games: 195, white: 38%, black: 54%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nf6 8. Be2 O-O 
games: 208, white: 40%, black: 56%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bb5
games: 177, white: 40%, black: 57%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bb5 Ne7 
games: 626, white: 42%, black: 51%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 
games: 427, white: 40%, black: 51%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nf6 
games: 113, white: 32%, black: 65%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bc4 Nf6 8. d3 O-O 9. O-O
games: 223, white: 40%, black: 51%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nf6 8. Be2 O-O 9. O-O
games: 109, white: 37%, black: 60%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bc4 Nf6 8. d3 O-O 9. O-O Bg4 
games: 154, white: 40%, black: 54%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bc4
games: 384, white: 41%, black: 50%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4
games: 97, white: 32%, black: 58%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nf6 8. Be2 O-O 9. O-O Re8 
games: 71, white: 33%, black: 64%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bb5 Ne7 8. d4 O-O 9. O-O Ng6 
games: 972, white: 44%, black: 47%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 
games: 516, white: 44%, black: 48%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. dxc6 Nbxc6 
games: 109, white: 40%, black: 55%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bb5 Ne7 8. d4
games: 189, white: 43%, black: 53%, forced: 0, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Qe2 e4 
games: 516, white: 44%, black: 48%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nge7 
games: 104, white: 40%, black: 54%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bb5 Ne7 8. d4 O-O 
games: 128, white: 40%, black: 50%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nf6 8. Be2 O-O 9. O-O Bg4 
games: 776, white: 45%, black: 47%, forced: 0, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Qe2 cxd5 
games: 271, white: 45%, black: 48%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. dxc6
games: 614, white: 46%, black: 45%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 
games: 1127, white: 48%, black: 46%, forced: 0, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Qe2
games: 136, white: 44%, black: 48%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 7. dxc6 Nbxc6 
games: 1650, white: 49%, black: 43%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3
games: 881, white: 49%, black: 43%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4
games: 798, white: 49%, black: 43%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 
games: 60, white: 41%, black: 53%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bd3 O-O 8. O-O cxd5 
games: 60, white: 41%, black: 53%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bd3 cxd5 8. O-O O-O 
games: 212, white: 45%, black: 44%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bc4
games: 1581, white: 50%, black: 43%, forced: 0, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 
games: 245, white: 47%, black: 44%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 cxd5 7. Bxf4
games: 60, white: 41%, black: 53%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 cxd5 7. Bd3 Ne7 8. O-O O-O 
games: 212, white: 45%, black: 44%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 7. d4
games: 64, white: 40%, black: 50%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bd3 cxd5 
games: 60, white: 41%, black: 53%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 cxd5 6. d4 Bd6 7. Bd3 Ne7 8. O-O O-O 
games: 64, white: 40%, black: 50%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 cxd5 7. Bd3 Ne7 
games: 64, white: 40%, black: 50%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 cxd5 6. d4 Bd6 7. Bd3 Ne7 
games: 103, white: 42%, black: 46%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bc4 O-O 8. O-O Bg4 
games: 577, white: 49%, black: 43%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4
games: 182, white: 47%, black: 46%, forced: 0, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. d4
games: 103, white: 42%, black: 46%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 7. d4 O-O 8. O-O Bg4 
games: 49, white: 38%, black: 59%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Qe2 cxd5 5. fxe5 Nc6 6. Nf3 d4 
games: 529, white: 49%, black: 43%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Qe2 cxd5 5. fxe5 Nc6 
games: 127, white: 47%, black: 46%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 7. dxc6 Nbxc6 8. O-O O-O 
games: 576, white: 50%, black: 42%, forced: 0, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Qe2 cxd5 5. fxe5
games: 168, white: 48%, black: 45%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4
games: 38, white: 39%, black: 60%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bb5 Ne7 8. d4 O-O 9. O-O Ng6 10. Ne4
games: 34, white: 35%, black: 64%, forced: 5, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bb5 Ne7 8. d4 O-O 9. O-O Ng6 10. Ne4 Bc7 
games: 36, white: 33%, black: 61%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 cxd5 7. Bxf4 Be7 8. Bd3
games: 463, white: 50%, black: 42%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Qe2 cxd5 5. fxe5 Nc6 6. Nf3
games: 69, white: 43%, black: 46%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bd3 cxd5 8. O-O
games: 63, white: 42%, black: 47%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bc4 cxd5 
games: 69, white: 43%, black: 46%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 cxd5 7. Bd3 Ne7 8. O-O
games: 69, white: 43%, black: 46%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 cxd5 6. d4 Bd6 7. Bd3 Ne7 8. O-O
games: 63, white: 42%, black: 47%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 7. d4 cxd5 
games: 567, white: 51%, black: 41%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Nf6 
games: 119, white: 49%, black: 45%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. dxc6 Nbxc6 8. Bd3 O-O 9. O-O
games: 567, white: 51%, black: 41%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 Bd6 
games: 119, white: 49%, black: 45%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bd3 O-O 8. dxc6 Nbxc6 9. O-O
games: 118, white: 48%, black: 46%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 
games: 119, white: 49%, black: 45%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nge7 8. Bd3 O-O 9. O-O
games: 168, white: 49%, black: 42%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bc4 O-O 8. O-O
games: 58, white: 46%, black: 50%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. dxc6 Nbxc6 8. Be2 O-O 9. O-O
games: 2532, white: 53%, black: 40%, forced: 0, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3
games: 168, white: 49%, black: 42%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 7. d4 O-O 8. O-O
games: 58, white: 46%, black: 50%, forced: 4, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nge7 8. Be2 O-O 9. O-O
games: 118, white: 49%, black: 44%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. dxc6 Nbxc6 8. Bd3 O-O 
games: 106, white: 47%, black: 44%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 7. dxc6 Nbxc6 8. O-O
games: 29, white: 27%, black: 72%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bc4 Nf6 8. d3 O-O 
games: 54, white: 44%, black: 50%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 cxd5 7. Bxf4 Bb4 
games: 118, white: 49%, black: 44%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bd3 O-O 8. dxc6 Nbxc6 
games: 54, white: 44%, black: 50%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nf6 8. Be2
games: 474, white: 52%, black: 41%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 cxd5 
games: 118, white: 49%, black: 44%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nge7 8. Bd3 O-O 
games: 42, white: 42%, black: 52%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Nf6 7. d4 cxd5 
games: 73, white: 46%, black: 45%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6
games: 71, white: 43%, black: 42%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 cxd5 7. Bb5+ Nc6 8. Bxf4
games: 27, white: 29%, black: 70%, forced: 2, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. Bc4 Nf6 8. d3
games: 187, white: 51%, black: 42%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Nf6 7. d4
games: 137, white: 49%, black: 41%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. Bc4 O-O 
games: 45, white: 44%, black: 51%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. d4 Ne7 7. dxc6 Nbxc6 8. Be2 O-O 
games: 137, white: 49%, black: 41%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. Bc4 Ne7 7. d4 O-O 
games: 45, white: 44%, black: 51%, forced: 3, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Bd6 6. dxc6 Nxc6 7. d4 Nge7 8. Be2 O-O 
games: 227, white: 51%, black: 40%, forced: 1, pgn:1. e4 e5 2. f4 d5 3. exd5 c6 4. Nc3 exf4 5. Nf3 Nf6 6. d4 cxd5 
