games: 37698, white: 41%, black: 51%, pgn:1. b3 d5 2. Bb2 Bg4 
games: 25330, white: 43%, black: 49%, pgn:1. b3 c5 2. Nf3 d6 3. e4
games: 25330, white: 43%, black: 49%, pgn:1. b3 c5 2. e4 d6 3. Nf3
games: 86988, white: 44%, black: 47%, pgn:1. b3 e5 2. Bb2 Nc6 3. e3 Nf6 
games: 86988, white: 44%, black: 47%, pgn:1. b3 e5 2. e3 Nc6 3. Bb2 Nf6 
games: 86988, white: 44%, black: 47%, pgn:1. b3 e5 2. e3 Nf6 3. Bb2 Nc6 
games: 86988, white: 44%, black: 47%, pgn:1. b3 Nf6 2. e3 e5 3. Bb2 Nc6 
games: 48843, white: 44%, black: 47%, pgn:1. b3 Nf6 2. e3 g6 3. Bb2
games: 48320, white: 44%, black: 47%, pgn:1. b3 Nf6 2. e3 g6 3. Bb2 Bg7 
games: 16597, white: 43%, black: 49%, pgn:1. b3 Nf6 2. e3
games: 11035, white: 42%, black: 50%, pgn:1. b3 d5 2. Bb2 Bg4 3. h3
games: 15636, white: 43%, black: 49%, pgn:1. b3 c5 2. Nf3 d6 3. e4 Nf6 
games: 10523, white: 42%, black: 50%, pgn:1. b3 d5 2. Bb2 Bg4 3. h3 Bh5 
games: 15636, white: 43%, black: 49%, pgn:1. b3 c5 2. e4 d6 3. Nf3 Nf6 
games: 16072, white: 44%, black: 49%, pgn:1. b3 e5 2. Bb2 Nc6 3. g3
games: 16072, white: 44%, black: 49%, pgn:1. b3 e5 2. g3 Nc6 3. Bb2
games: 24422, white: 45%, black: 48%, pgn:1. b3 e5 2. e3
games: 35238, white: 45%, black: 47%, pgn:1. b3 d5 2. e3
games: 8902, white: 42%, black: 50%, pgn:1. b3 Nf6 2. e3 g6 
games: 15605, white: 44%, black: 48%, pgn:1. b3 c5 2. e3
games: 13731, white: 44%, black: 48%, pgn:1. b3 d5 2. e3 Nf6 
games: 8365, white: 43%, black: 50%, pgn:1. b3 e5 2. Bb2 Nc6 3. g3 d5 
games: 13731, white: 44%, black: 48%, pgn:1. b3 Nf6 2. e3 d5 
games: 8365, white: 43%, black: 50%, pgn:1. b3 e5 2. Bb2 d5 3. g3 Nc6 
games: 8365, white: 43%, black: 50%, pgn:1. b3 e5 2. g3 d5 3. Bb2 Nc6 
games: 8365, white: 43%, black: 50%, pgn:1. b3 e5 2. g3 Nc6 3. Bb2 d5 
games: 8365, white: 43%, black: 50%, pgn:1. b3 d5 2. g3 e5 3. Bb2 Nc6 
games: 14863, white: 43%, black: 47%, pgn:1. b3 d5 2. Bb2 Bg4 3. Nf3
games: 20670, white: 46%, black: 48%, pgn:1. b3 e5 2. e3 d5 
