games: 3487, white: 34%, black: 57%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Bg4 7. Bd3 Nc6 , forced: 2
games: 3487, white: 34%, black: 57%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 a6 7. Bd3 Nc6 , forced: 2
games: 3487, white: 34%, black: 57%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 cxd4 6. exd4 Bg4 7. Bd3 Nc6 , forced: 2
games: 4240, white: 37%, black: 55%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 , forced: 2
games: 2734, white: 36%, black: 55%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Be2, forced: 3
games: 2642, white: 36%, black: 55%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Be2 e6 , forced: 3
games: 3088, white: 35%, black: 53%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Be2 a6 , forced: 3
games: 2151, white: 37%, black: 55%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Be2 e6 8. O-O, forced: 3
games: 18759, white: 39%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 , forced: 2
games: 14815, white: 39%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Nc6 , forced: 2
games: 14815, white: 39%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 cxd4 6. exd4 Nc6 , forced: 2
games: 604, white: 33%, black: 59%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Be2 e6 8. h3, forced: 3
games: 1777, white: 36%, black: 52%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Be2 a6 8. O-O, forced: 4
games: 507, white: 32%, black: 58%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Be2 a6 8. h3, forced: 3
games: 14592, white: 40%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3, forced: 2
games: 14592, white: 40%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 cxd4 6. exd4, forced: 2
games: 1338, white: 39%, black: 55%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Qd2 Nc6 7. f3, forced: 3
games: 2813, white: 39%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Nc6 7. h3, forced: 2
games: 2813, white: 39%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3 Nc6 7. Nf3, forced: 3
games: 1740, white: 37%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Nc6 7. h3 Bf5 8. Bd3, forced: 2
games: 1740, white: 37%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3 Nc6 7. Nf3 Bf5 8. Bd3, forced: 3
games: 1297, white: 39%, black: 55%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Qd2 Nc6 , forced: 3
games: 2813, white: 39%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 cxd4 6. exd4 Nc6 7. h3, forced: 2
games: 2322, white: 38%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Nc6 7. h3 Bf5 , forced: 2
games: 2322, white: 38%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3 Nc6 7. Nf3 Bf5 , forced: 3
games: 1740, white: 37%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3 Bf5 7. Nf3 Nc6 8. Bd3, forced: 2
games: 1740, white: 37%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 cxd4 6. exd4 Nc6 7. h3 Bf5 8. Bd3, forced: 2
games: 2322, white: 38%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3 Bf5 7. Nf3 Nc6 , forced: 2
games: 1223, white: 39%, black: 55%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Qd2, forced: 3
games: 2322, white: 38%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 cxd4 6. exd4 Nc6 7. h3 Bf5 , forced: 2
games: 2504, white: 40%, black: 52%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 , forced: 2
games: 420, white: 33%, black: 58%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. a3 cxd4 6. exd4 Nc6 , forced: 3
games: 2668, white: 40%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Bd3 Nc6 , forced: 3
games: 446, white: 34%, black: 55%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Bb5 e6 8. O-O, forced: 2
games: 391, white: 35%, black: 58%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Nb5, forced: 3
games: 2806, white: 40%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Bd3, forced: 3
games: 22880, white: 42%, black: 49%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 , forced: 2
games: 350, white: 33%, black: 60%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Nb5 Rc8 , forced: 3
games: 1877, white: 39%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Nc6 7. Ne5 Bd7 , forced: 2
games: 1207, white: 40%, black: 53%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nf3 Bf5 5. e3 cxd4 6. exd4 Nc6 , forced: 2
games: 3279, white: 41%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Bg4 , forced: 2
games: 1877, white: 39%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 Nc6 6. Ne5 cxd4 7. exd4 Bd7 , forced: 2
games: 976, white: 37%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3, forced: 2
games: 3279, white: 41%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 a6 , forced: 2
games: 1877, white: 39%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 cxd4 6. exd4 Nc6 7. Ne5 Bd7 , forced: 2
games: 1877, white: 39%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nf3 Nc6 5. e3 a6 6. Ne5 cxd4 7. exd4 Bd7 , forced: 3
games: 3279, white: 41%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 cxd4 6. exd4 Bg4 , forced: 2
games: 3154, white: 41%, black: 50%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 e6 6. Ne5, forced: 1
games: 751, white: 36%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Be2 a6 8. Ne5, forced: 4
games: 1223, white: 40%, black: 52%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Bb5, forced: 2
games: 979, white: 38%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3 Nc6 , forced: 3
games: 1150, white: 40%, black: 52%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. f3 Bd7 , forced: 3
games: 260, white: 31%, black: 61%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. Qxd4 Nc6 , forced: 2
games: 1013, white: 40%, black: 52%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. Nf3 Nc6 7. Bb5 e6 , forced: 2
games: 1704, white: 41%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. Nf3 Bf5 6. Be2 Nc6 , forced: 1
games: 1704, white: 41%, black: 51%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nf3 Bf5 5. e3 a6 6. Be2 Nc6 , forced: 2
games: 353, white: 35%, black: 56%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. a3 cxd4 6. exd4, forced: 3
