games: 462, white: 37%, black: 55%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. Nh3 Nd7 9. O-O-O Rc8 10. g4 c5 
games: 462, white: 37%, black: 55%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. Nh3 Rc8 10. O-O-O c5 
games: 462, white: 37%, black: 55%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. Nh3 c5 10. O-O-O Rc8 
games: 462, white: 37%, black: 55%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. Nh3 Rc8 10. O-O-O c5 
games: 462, white: 37%, black: 55%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. Nh3 c5 10. O-O-O Rc8 
games: 1426, white: 42%, black: 52%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 
games: 1426, white: 42%, black: 52%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 
games: 712, white: 40%, black: 54%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. a3
games: 459, white: 38%, black: 53%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. Nh3 Nd7 9. O-O-O Rc8 10. g4
games: 1550, white: 43%, black: 51%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. O-O-O Rc8 
games: 459, white: 38%, black: 53%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. Nh3 Rc8 10. O-O-O
games: 1550, white: 43%, black: 51%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. O-O-O Rc8 
games: 459, white: 38%, black: 53%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. Nh3 Rc8 10. O-O-O
games: 853, white: 43%, black: 51%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h5 
games: 2131, white: 44%, black: 50%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. O-O-O
games: 2131, white: 44%, black: 50%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. O-O-O
games: 1829, white: 44%, black: 50%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4
games: 296, white: 38%, black: 54%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. Nh3
games: 296, white: 38%, black: 54%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. Nh3
games: 248, white: 38%, black: 56%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. O-O-O Nb6 
games: 248, white: 38%, black: 56%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. O-O-O Nb6 
games: 354, white: 42%, black: 53%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. g4 Nd7 9. h5 g5 
games: 354, white: 42%, black: 53%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. g4 h6 9. h5 g5 
games: 3637, white: 45%, black: 49%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h6 8. O-O-O Nd7 
games: 3637, white: 45%, black: 49%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h6 
games: 327, white: 42%, black: 53%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. a3 h6 
games: 311, white: 42%, black: 53%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 h5 8. O-O-O Nd7 9. Nge2
games: 311, white: 42%, black: 53%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Bb7 7. f3 Nd7 8. O-O-O h5 9. Nge2
