games: 439, white: 42%, black: 50%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Bxh3 9. Rxh3
games: 226, white: 38%, black: 53%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Bxh3 9. Rxh3 c6 10. O-O-O Nbd7 
games: 177, white: 36%, black: 53%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Bxh3 9. Rxh3 c6 
games: 231, white: 41%, black: 51%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Bxh3 9. Rxh3 c6 10. O-O-O
games: 371, white: 42%, black: 49%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Bxh3 9. Rxh3 Nbd7 
games: 367, white: 43%, black: 49%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Bxh3 
games: 453, white: 47%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. O-O-O Bb7 10. Kb1
games: 453, white: 47%, black: 48%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Nh3 Nbd7 10. Kb1
games: 453, white: 47%, black: 48%, forced: 3, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Kb1 Nbd7 10. Nh3
games: 453, white: 47%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Nbd7 9. Nh3 Bb7 10. Kb1
games: 407, white: 47%, black: 48%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Kb1 Nbd7 
games: 115, white: 42%, black: 54%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Kb1
games: 119, white: 43%, black: 52%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. O-O-O Bb7 10. Kb1 Rc8 
games: 119, white: 43%, black: 52%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Nh3 Nbd7 10. Kb1 Rc8 
games: 119, white: 43%, black: 52%, forced: 3, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Kb1 Nbd7 10. Nh3 Rc8 
games: 119, white: 43%, black: 52%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Nbd7 9. Nh3 Bb7 10. Kb1 Rc8 
games: 173, white: 45%, black: 50%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. O-O-O Bb7 10. Kb1 c5 
games: 173, white: 45%, black: 50%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Nh3 Nbd7 10. Kb1 c5 
games: 173, white: 45%, black: 50%, forced: 3, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Kb1 Nbd7 10. Nh3 c5 
games: 97, white: 40%, black: 51%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Bxh3 9. Rxh3 c6 10. O-O-O Qc7 
games: 224, white: 45%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h6 
games: 649, white: 46%, black: 46%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3
games: 173, white: 45%, black: 50%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Nbd7 9. Nh3 Bb7 10. Kb1 c5 
games: 103, white: 44%, black: 53%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 Nbd7 8. g4 h6 
games: 143, white: 45%, black: 48%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. Ng5 Bb7 10. O-O-O Qc8 11. Kb1 c5 
games: 143, white: 45%, black: 48%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. O-O-O Bb7 10. Ng5 Qc8 11. Kb1 c5 
games: 143, white: 45%, black: 48%, forced: 3, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Nh3 Nbd7 10. Ng5 Qc8 11. Kb1 c5 
games: 408, white: 46%, black: 46%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. Ng5 Bb7 10. O-O-O e6 
games: 408, white: 46%, black: 46%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. O-O-O Bb7 10. Ng5 e6 
games: 143, white: 45%, black: 48%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Nbd7 9. Nh3 Bb7 10. Ng5 Qc8 11. Kb1 c5 
games: 408, white: 46%, black: 46%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Nh3 Nbd7 10. Ng5 e6 
games: 170, white: 44%, black: 47%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. Ng5 Nb6 
games: 99, white: 42%, black: 51%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 Nbd7 8. g4 h5 
games: 408, white: 46%, black: 46%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Nbd7 9. Nh3 Bb7 10. Ng5 e6 
games: 80, white: 40%, black: 52%, forced: 3, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Bxh3 9. Rxh3 c6 10. O-O-O Qc7 11. Be2 Nbd7 
games: 1225, white: 47%, black: 46%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3
games: 721, white: 48%, black: 47%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 
games: 202, white: 46%, black: 47%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. Ng5 Bb7 10. O-O-O Qc8 
games: 70, white: 35%, black: 61%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 Nbd7 8. g4 h6 9. O-O-O Nb6 
games: 202, white: 46%, black: 47%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. O-O-O Bb7 10. Ng5 Qc8 
games: 122, white: 46%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. O-O-O Bb7 10. Kb1 c5 11. Ng5
games: 202, white: 46%, black: 47%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Nh3 Nbd7 10. Ng5 Qc8 
games: 122, white: 46%, black: 48%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Nh3 Nbd7 10. Kb1 c5 11. Ng5
games: 122, white: 46%, black: 48%, forced: 3, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Kb1 Nbd7 10. Nh3 c5 11. Ng5
games: 294, white: 46%, black: 46%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 Bb7 
games: 67, white: 35%, black: 56%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Bxh3 9. Rxh3 Nbd7 10. Be2 c6 
games: 202, white: 46%, black: 47%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Nbd7 9. Nh3 Bb7 10. Ng5 Qc8 
games: 122, white: 46%, black: 48%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Nbd7 9. Nh3 Bb7 10. Kb1 c5 11. Ng5
games: 85, white: 44%, black: 51%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. O-O-O Bb7 10. Kb1 e6 
games: 85, white: 44%, black: 51%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Nh3 Nbd7 10. Kb1 e6 
games: 1483, white: 48%, black: 45%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 
games: 71, white: 40%, black: 50%, forced: 3, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 Nbd7 8. Bh6 Bxh6 9. Qxh6 Bb7 
games: 85, white: 44%, black: 51%, forced: 3, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Kb1 Nbd7 10. Nh3 e6 
games: 1167, white: 49%, black: 45%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Nbd7 9. O-O-O Bb7 
games: 59, white: 37%, black: 54%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. Nh3 Bxh3 9. Rxh3 c6 10. O-O-O Nbd7 11. Bd3 Qc7 
games: 85, white: 44%, black: 51%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Nbd7 9. Nh3 Bb7 10. Kb1 e6 
games: 1167, white: 49%, black: 45%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 5. Qd2 b5 6. h4 Nf6 7. f3 h5 8. O-O-O Bb7 9. Nh3 Nbd7 
