games: 7627, white: 43%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Bc4 a6 
games: 6760, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Bc4 a6 
games: 6760, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. Nf3 a6 
games: 7627, white: 43%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. d4 a6 
games: 3468, white: 43%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Be2
games: 1792, white: 40%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Be2 c6 6. d4
games: 1792, white: 40%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. Be2 Nf6 6. d4
games: 2694, white: 41%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Nf3 Bg4 6. Be2 c6 
games: 2694, white: 41%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. d4 Bg4 6. Be2 c6 
games: 2694, white: 41%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Be2 Bg4 6. d4 c6 
games: 2694, white: 41%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Be2 c6 6. d4 Bg4 
games: 2694, white: 41%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. Be2 Nf6 6. d4 Bg4 
games: 2694, white: 41%, black: 45%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. Be2 Bg4 6. d4 Nf6 
games: 2597, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. h3
games: 1584, white: 43%, black: 48%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Bf5 5. Bc4 e6 6. O-O c6 
games: 2597, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. h3 Nf6 5. Nf3
games: 2037, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Bc4 a6 6. O-O
games: 2037, white: 44%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. Nf3 a6 6. O-O
games: 1538, white: 42%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. Be2 Bg4 6. d4
games: 1610, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Bc4 a6 6. O-O b5 
games: 1610, white: 44%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. Nf3 a6 6. O-O b5 
games: 8324, white: 44%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Nf3 Bg4 6. Be2
games: 8324, white: 44%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. d4 Bg4 6. Be2
games: 1322, white: 43%, black: 48%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. d3 a6 
games: 8324, white: 44%, black: 44%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Be2 Bg4 6. d4
games: 2191, white: 44%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. d3 e6 6. Nf3
games: 2191, white: 44%, black: 46%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 e6 5. d3 Nf6 6. Nf3
games: 1137, white: 41%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Be2 Bf5 6. d4 c6 
games: 1137, white: 41%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Be2 c6 6. d4 Bf5 
games: 1417, white: 43%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. Bc4 a6 6. a4
games: 1137, white: 41%, black: 47%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 c6 5. Be2 Nf6 6. d4 Bf5 
