games: 8028, white: 40%, black: 52%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Bc4 Bg7 6. Nf3, forced: 0
games: 80047, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Bg7 5. Nf3 Nd4 , forced: 0
games: 80047, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Nf3 Bg7 , forced: 0
games: 5501, white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Nxd4, forced: 0
games: 50975, white: 46%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Bg7 5. Nf3 Nd4 6. O-O, forced: 0
games: 5501, white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Nxd4, forced: 0
games: 5493, white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Nxd4 cxd4 , forced: 0
games: 50975, white: 46%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Nf3 Bg7 6. O-O, forced: 0
games: 5493, white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Nxd4 cxd4 , forced: 0
games: 5217, white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Nxd4 cxd4 6. Ne2, forced: 0
games: 5217, white: 43%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Nxd4 cxd4 6. Ne2, forced: 0
games: 9495, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Bg7 5. Nf3 Nd4 6. Nxd4, forced: 0
games: 9495, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Nf3 Bg7 6. Nxd4, forced: 0
games: 4370, white: 43%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 , forced: 0
games: 14599, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 , forced: 0
games: 11733, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3, forced: 0
games: 2636, white: 41%, black: 51%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. d3 Nge7 5. f4 d5 6. Nf3, forced: 0
games: 25281, white: 47%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 , forced: 0
games: 4374, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Bg7 5. Nf3 Nd4 6. a4, forced: 0
games: 25281, white: 47%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 , forced: 0
games: 5544, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. Bd3 Nc6 6. Be2, forced: 0
games: 4374, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Nf3 Bg7 6. a4, forced: 0
games: 4374, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. a4 Bg7 6. Nf3, forced: 0
games: 3906, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 g6 , forced: 0
games: 113859, white: 48%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Bg7 5. Nf3, forced: 0
games: 5544, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. Bd3 Nc6 6. Be2, forced: 0
games: 3189, white: 43%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 Nf6 5. O-O Qc7 , forced: 0
games: 9885, white: 48%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4, forced: 0
games: 3286, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 Nc6 , forced: 0
games: 8074, white: 47%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. O-O a6 , forced: 0
games: 3185, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Nf3, forced: 0
games: 8074, white: 47%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. O-O a6 , forced: 0
games: 17097, white: 48%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nge7 , forced: 0
games: 27623, white: 49%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3, forced: 0
games: 21677, white: 49%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Bg7 , forced: 0
games: 2133, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 g6 6. Nxd4, forced: 0
games: 2133, white: 44%, black: 47%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nge2 a6 5. Bd3 g6 6. Nxd4, forced: 0
games: 1109, white: 38%, black: 54%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Bc4, forced: 0
games: 8275, white: 48%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 e6 6. O-O, forced: 0
games: 8137, white: 48%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Bg7 5. Bxc6 dxc6 , forced: 0
games: 1700, white: 44%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 e6 5. d3, forced: 0
games: 2465, white: 46%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 Nc6 6. O-O, forced: 0
games: 8275, white: 48%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. O-O a6 6. Bd3, forced: 0
games: 1242, white: 42%, black: 49%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bd3 g6 6. O-O, forced: 0
games: 2989, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 a6 5. a4 e6 6. Nf3, forced: 0
games: 8275, white: 48%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. O-O a6 6. Bd3, forced: 0
games: 2989, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4 a6 5. Bc4 e6 6. Nf3, forced: 0
games: 934, white: 38%, black: 54%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. f4 Nd4 5. Bc4 Bg7 , forced: 0
games: 2690, white: 47%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Bg7 5. d3, forced: 0
games: 2690, white: 47%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. d3 Bg7 5. Nf3, forced: 0
games: 1907, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 a6 5. a4 e6 , forced: 0
games: 1907, white: 45%, black: 46%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4 a6 5. Bc4 e6 , forced: 0
games: 1059, white: 40%, black: 51%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. d3 Nge7 5. Nf3, forced: 0
games: 4421, white: 48%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Bxc6 bxc6 5. d3 Bg7 6. Nf3, forced: 0
games: 4421, white: 48%, black: 44%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nf3 Bg7 5. Bxc6 bxc6 6. d3, forced: 0
games: 5961, white: 48%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nge2 g6 5. Nxd4, forced: 0
games: 5961, white: 48%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nge2 Nd4 5. Nxd4, forced: 0
games: 14673, white: 49%, black: 42%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 e6 5. O-O, forced: 0
games: 5952, white: 48%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nge2 g6 5. Nxd4 cxd4 , forced: 0
games: 1620, white: 46%, black: 48%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. a4, forced: 0
games: 846, white: 38%, black: 53%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. d3 Nge7 5. Nf3 a6 , forced: 0
games: 2382, white: 46%, black: 45%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Bc4 Nf6 5. Nf3, forced: 0
games: 5952, white: 48%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 g6 4. Nge2 Nd4 5. Nxd4 cxd4 , forced: 0
games: 14673, white: 49%, black: 42%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nd4 5. O-O, forced: 0
games: 5809, white: 48%, black: 43%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nge2 g6 5. Nxd4 cxd4 6. Ne2, forced: 0
games: 13998, white: 49%, black: 42%, pgn:1. e4 c5 2. Nc3 Nc6 3. Bb5 e6 4. Nf3 Nge7 5. O-O, forced: 0
