games: 14307, white: 39%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 cxd4 5. cxd4
games: 14288, white: 39%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 cxd4 
games: 14307, white: 39%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 d5 5. Nd2
games: 17010, white: 41%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. f4
games: 9031, white: 37%, black: 53%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 cxd4 5. cxd4 dxe4 
games: 9031, white: 37%, black: 53%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 d5 5. Nd2 dxe4 
games: 8155, white: 38%, black: 55%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. f4 Qb6 
games: 9056, white: 39%, black: 54%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. f4 Qb6 6. Nf3
games: 12587, white: 40%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 cxd4 5. cxd4 dxe4 6. Nxe4
games: 12587, white: 40%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 dxe4 5. Nxe4 cxd4 6. cxd4
games: 12587, white: 40%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 d5 5. Nc3 dxe4 6. Nxe4
games: 12587, white: 40%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 d5 5. Nd2 dxe4 6. Nxe4
games: 31168, white: 43%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2
games: 20069, white: 43%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 Nf6 
games: 16261, white: 43%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 Nf6 5. e5
games: 35608, white: 45%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nxc3 Nc6 
games: 2821, white: 38%, black: 54%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. f4 Nh6 6. Nf3
games: 12289, white: 44%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 Nc6 
games: 12289, white: 44%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nf3 Nc6 
games: 12289, white: 44%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 Nc6 5. Nf3 dxc3 
games: 143963, white: 46%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 Nc6 6. Bc4
games: 143963, white: 46%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 Nc6 6. Nxc3
games: 143963, white: 46%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nf3 Nc6 6. Nxc3
games: 143963, white: 46%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nxc3 Nc6 6. Nf3
games: 11098, white: 42%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Bd3
games: 143963, white: 46%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 Nc6 5. Nf3 dxc3 6. Nxc3
games: 1960, white: 37%, black: 56%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. f4 Nh6 
games: 5069, white: 40%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Bd3 Nc6 
games: 2143, white: 39%, black: 53%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 a6 5. Nxd4
games: 2143, white: 39%, black: 53%, pgn:1. e4 c5 2. c3 e6 3. d4 a6 4. Nf3 cxd4 5. Nxd4
games: 4653, white: 42%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 cxd4 5. cxd4 Nc6 
games: 36772, white: 46%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 dxc3 
games: 4653, white: 42%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 d5 5. Nd2 Nc6 
games: 3103, white: 42%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. f4 Bd7 
games: 3103, white: 42%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. f4 Nc6 
games: 8126, white: 45%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 dxc3 5. Bc4 Nc6 6. O-O
games: 2225, white: 40%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. dxc5 Bxc5 6. Nf3
games: 8126, white: 45%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 dxc3 5. Nf3 Nc6 6. O-O
games: 8126, white: 45%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Bc4 Nc6 5. Nf3 dxc3 6. O-O
games: 37712, white: 45%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 Nf6 5. e5 Nd5 
games: 125104, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 dxc3 5. Nxc3 Nc6 
games: 3699, white: 43%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. f4 Bd7 6. Nf3
games: 3699, white: 43%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. f4 Nc6 6. Nf3
games: 98931, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3
games: 2024, white: 40%, black: 52%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 a6 5. Bd3
games: 2331, white: 40%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Nf3 Nc6 6. dxc5
games: 6108, white: 42%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. Nf3 Nc6 6. Be2
games: 65687, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Bd7 6. Bd3
games: 65687, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. Nf3 Nc6 6. Bd3
games: 3608, white: 41%, black: 49%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Nd2 a6 
games: 65687, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Bd7 5. Bd3 Nc6 6. Nf3
games: 140534, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. cxd4 Nf6 5. e5 Nd5 6. Nf3
games: 65687, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. Bd3 Nc6 5. e5 Bd7 6. Nf3
games: 140534, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 e6 3. d4 cxd4 4. Nf3 Nf6 5. e5 Nd5 6. cxd4
games: 140534, white: 45%, black: 46%, pgn:1. e4 c5 2. c3 e6 3. d4 Nf6 4. e5 Nd5 5. Nf3 cxd4 6. cxd4
games: 2480, white: 41%, black: 51%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 exd5 5. dxc5 Bxc5 
games: 45911, white: 46%, black: 47%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Be2
games: 3734, white: 43%, black: 50%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. f4 cxd4 6. cxd4
games: 14304, white: 46%, black: 48%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. a3
