games: 43697, white: 40%, black: 53%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3, forced: 1
games: 32531, white: 40%, black: 53%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Bg4 , forced: 1
games: 9755, white: 38%, black: 54%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 cxd4 , forced: 2
games: 9755, white: 38%, black: 54%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 cxd4 5. Nf3 Nc6 , forced: 3
games: 9755, white: 38%, black: 54%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 cxd4 5. c3 Nc6 , forced: 1
games: 86795, white: 42%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 , forced: 1
games: 10255, white: 41%, black: 52%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. f4, forced: 1
games: 102173, white: 43%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3, forced: 1
games: 9162, white: 41%, black: 52%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Bb5, forced: 1
games: 3799, white: 39%, black: 54%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. f4 cxd4 , forced: 2
games: 27515, white: 43%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Be4 , forced: 1
games: 26810, white: 43%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Be4 5. f3 Bg6 , forced: 2
games: 25157, white: 43%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bd7 , forced: 0
games: 26871, white: 44%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Be4 5. f3, forced: 2
games: 18031, white: 42%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. Nf3, forced: 1
games: 9884, white: 43%, black: 51%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qb6 , forced: 0
games: 6647, white: 41%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 Bxd3 5. Qxd3 Qa5+ , forced: 3
games: 14946, white: 43%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. Be3 Nd7 , forced: 0
games: 11693, white: 43%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. Nf3 Bxd3 , forced: 2
games: 2061, white: 39%, black: 54%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Bb5 Qb6 , forced: 1
games: 83943, white: 44%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 Bxd3 , forced: 2
games: 81412, white: 44%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 Bxd3 5. Qxd3, forced: 3
games: 3286, white: 41%, black: 51%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. Nf3 Ne7 , forced: 1
games: 73561, white: 44%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 Bxd3 5. Qxd3 e6 , forced: 3
games: 3162, white: 41%, black: 51%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 Qb6 , forced: 1
games: 81147, white: 46%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4, forced: 0
games: 10500, white: 44%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 cxd4 5. cxd4, forced: 3
games: 9128, white: 43%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 cxd4 5. cxd4 Nc6 , forced: 3
games: 10088, white: 44%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 cxd4 , forced: 2
games: 91537, white: 45%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3, forced: 1
games: 2814, white: 42%, black: 51%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Bb5 cxd4 , forced: 1
games: 1351, white: 39%, black: 54%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. f4 Nh6 , forced: 1
games: 11292, white: 44%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nf3 e6 5. c3, forced: 1
games: 4736, white: 43%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Nc3 a6 , forced: 1
games: 1224, white: 38%, black: 55%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bd7 5. Nc3 Qb6 , forced: 0
games: 3740, white: 43%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 c5 , forced: 0
games: 1383, white: 39%, black: 53%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. Be3 Ne7 , forced: 0
games: 3496, white: 43%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. f4, forced: 1
games: 26853, white: 45%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. dxc5 e6 5. Be3, forced: 0
games: 14883, white: 44%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 g6 4. c4 Bg7 5. cxd5 cxd5 , forced: 1
games: 8644, white: 44%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. c3, forced: 1
games: 2721, white: 42%, black: 50%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. Nf3 Bg6 , forced: 1
games: 882, white: 37%, black: 56%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. Nf3 cxd4 5. Bd3 Nc6 , forced: 1
games: 13955, white: 45%, black: 47%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Bd7 , forced: 1
games: 3466, white: 43%, black: 49%, pgn:1. e4 c6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. f4 Bf5 , forced: 1
games: 5674, white: 44%, black: 48%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 e6 5. c3 Bxd3 , forced: 2
