games: 8579, white: 54%, black: 39%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3
games: 797, white: 55%, black: 37%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 
games: 521, white: 56%, black: 36%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3
games: 134, white: 61%, black: 32%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 6. Bf4 Be7 7. O-O-O
games: 156, white: 58%, black: 32%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 6. Bf4
games: 314, white: 56%, black: 36%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 
games: 2971, white: 51%, black: 42%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 
games: 4376, white: 50%, black: 42%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3
games: 145, white: 58%, black: 34%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 6. Bf4 Be7 
games: 387, white: 52%, black: 42%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bc5 5. Nc3
games: 136, white: 56%, black: 38%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 6. Bf4 Be7 7. O-O-O O-O 
games: 67, white: 64%, black: 31%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 6. Be3
games: 455, white: 51%, black: 43%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bc5 
games: 47, white: 65%, black: 31%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Be6 
games: 253, white: 53%, black: 42%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 Be7 
games: 466, white: 45%, black: 46%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 Bc5 6. Bf4 d6 
games: 699, white: 45%, black: 47%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 Bc5 6. Bf4
games: 466, white: 45%, black: 46%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bc5 5. Nc3 Nf6 6. Bf4 d6 
games: 699, white: 45%, black: 47%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bc5 5. Nc3 Nf6 6. Bf4
games: 184, white: 48%, black: 40%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 Bc5 6. Bf4 d6 7. Qd2
games: 129, white: 51%, black: 37%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 Bc5 6. Qg3
games: 184, white: 48%, black: 40%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bc5 5. Nc3 Nf6 6. Bf4 d6 7. Qd2
games: 41, white: 58%, black: 34%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 d5 6. Bg5
games: 129, white: 51%, black: 37%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bc5 5. Nc3 Nf6 6. Qg3
games: 1276, white: 44%, black: 49%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 Bc5 
games: 1276, white: 44%, black: 49%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bc5 5. Nc3 Nf6 
games: 20, white: 65%, black: 35%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 6. Bf4 Be7 7. O-O-O O-O 8. h4
games: 24, white: 58%, black: 29%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 6. Bf4 g6 
games: 271, white: 45%, black: 47%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 g6 5. Nc3 Bg7 
games: 22, white: 59%, black: 31%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 6. Bf4 g6 7. O-O-O
games: 73, white: 53%, black: 39%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 g6 5. Nc3 Bg7 6. Be3
games: 274, white: 44%, black: 48%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 g6 5. Nc3
games: 224, white: 43%, black: 45%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 d5 
games: 290, white: 44%, black: 49%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 g6 
games: 22, white: 59%, black: 36%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 6. Bf4 Be6 
games: 244, white: 43%, black: 49%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 Bc5 6. Bf4 O-O 
games: 26, white: 50%, black: 34%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 6. Bf4 g6 7. O-O-O Bg7 
games: 16, white: 75%, black: 25%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 Be7 6. Be3
games: 188, white: 45%, black: 48%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nf3
games: 244, white: 43%, black: 49%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bc5 5. Nc3 Nf6 6. Bf4 O-O 
games: 91, white: 47%, black: 47%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 Bc5 6. Bg5
games: 75, white: 49%, black: 42%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 g6 
games: 91, white: 47%, black: 47%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bc5 5. Nc3 Nf6 6. Bg5
games: 18, white: 61%, black: 38%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bc5 5. Qg3
games: 85, white: 49%, black: 45%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bb4+ 
games: 20, white: 55%, black: 40%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 d6 5. Nc3 Nf6 6. Bf4 Be6 7. O-O-O
games: 147, white: 44%, black: 51%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Nf6 5. Nc3 Bc5 6. Bf4 d6 7. f3
games: 42, white: 50%, black: 47%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 g6 5. Nc3 Bg7 6. h4
games: 147, white: 44%, black: 51%, pgn:1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qd3 Bc5 5. Nc3 Nf6 6. Bf4 d6 7. f3
