games: 6478, white: 61%, black: 34%, forced: 0, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Qh5
games: 23230, white: 56%, black: 38%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 c5 6. Bg5
games: 13979, white: 56%, black: 38%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 c5 6. dxc5 Bxc5 7. Bd3
games: 2460, white: 60%, black: 34%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. c3 Nc6 7. Nf3 f6 8. Nf4
games: 2460, white: 60%, black: 34%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. Nf3 Nc6 7. c3 f6 8. Nf4
games: 11438, white: 55%, black: 38%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 c5 6. dxc5 Bxc5 7. Bd3 Nc6 
games: 16699, white: 55%, black: 39%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 c5 6. dxc5 Bxc5 
games: 1494, white: 59%, black: 36%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. c3 Nc6 7. Nf3 Be7 8. Nf4
games: 1494, white: 59%, black: 36%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. Nf3 Nc6 7. c3 Be7 8. Nf4
games: 1494, white: 59%, black: 36%, forced: 0, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 Be7 6. c3 c5 7. Nf3 Nc6 8. Nf4
games: 1494, white: 59%, black: 36%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 Be7 6. Nf3 c5 7. c3 Nc6 8. Nf4
games: 3595, white: 56%, black: 38%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 Be7 6. Nf3
games: 1494, white: 59%, black: 36%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 Be7 6. Ne2 c5 7. c3 Nc6 8. Nf4
games: 7549, white: 54%, black: 37%, forced: 4, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 Nc6 7. Be3 Qb6 8. a3
games: 7549, white: 54%, black: 37%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 Qb6 7. Be3 Nc6 8. a3
games: 6611, white: 55%, black: 39%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. c3 Nc6 7. Nf3 Qb6 8. a3
games: 6611, white: 55%, black: 39%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. c3 Nc6 7. a3 Qb6 8. Nf3
games: 6611, white: 55%, black: 39%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. c3 Qb6 7. Nf3 Nc6 8. a3
games: 6611, white: 55%, black: 39%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. Nf3 Nc6 7. c3 Qb6 8. a3
games: 2334, white: 56%, black: 37%, forced: 0, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 g6 
games: 1345, white: 58%, black: 37%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Qg4 c5 6. Nb5
games: 2141, white: 56%, black: 37%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 g6 6. Nf3
games: 3336, white: 55%, black: 38%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. c3 Nc6 7. Nf3 Be7 8. a3
games: 3336, white: 55%, black: 38%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. c3 Nc6 7. a3 Be7 8. Nf3
games: 3336, white: 55%, black: 38%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. Nf3 Nc6 7. c3 Be7 8. a3
games: 3336, white: 55%, black: 38%, forced: 0, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 Be7 6. c3 c5 7. Nf3 Nc6 8. a3
games: 3336, white: 55%, black: 38%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 Be7 6. Nf3 c5 7. c3 Nc6 8. a3
games: 11630, white: 53%, black: 39%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 cxd4 7. Nxd4
games: 3336, white: 55%, black: 38%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 Be7 6. Ne2 c5 7. c3 Nc6 8. a3
games: 3718, white: 55%, black: 39%, forced: 0, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 Be7 
games: 10716, white: 53%, black: 39%, forced: 4, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 Nc6 7. Ne2 cxd4 8. Nexd4
games: 2127, white: 55%, black: 37%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 cxd4 7. Nxd4 a6 8. Be3
games: 10716, white: 53%, black: 39%, forced: 4, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 cxd4 7. Ne2 Nc6 8. Nexd4
games: 10716, white: 53%, black: 39%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 cxd4 7. Nb5 Nc6 8. Nbxd4
games: 840, white: 58%, black: 35%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 cxd4 7. Nxd4 Bc5 
games: 1046, white: 58%, black: 37%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 Be7 6. Nf3 O-O 
games: 10716, white: 53%, black: 39%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nce2 Nc6 7. Nf3 cxd4 8. Nexd4
games: 10716, white: 53%, black: 39%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nce2 cxd4 7. Nxd4 Nc6 8. Ngf3
games: 10716, white: 53%, black: 39%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nce2 cxd4 7. Nf3 Nc6 8. Nexd4
games: 1940, white: 56%, black: 38%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Qg4 a6 6. Bg5 Be7 7. Bxe7 Qxe7 8. f4
games: 10716, white: 53%, black: 39%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. f4 Nc6 7. Nf3 cxd4 8. Nexd4
games: 7888, white: 53%, black: 39%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 Nc6 7. Ne2 cxd4 
games: 10716, white: 53%, black: 39%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. f4 cxd4 7. Nxd4 Nc6 8. Ngf3
games: 7888, white: 53%, black: 39%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 cxd4 7. Ne2 Nc6 
games: 10716, white: 53%, black: 39%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. f4 cxd4 7. Nf3 Nc6 8. Nexd4
games: 771, white: 59%, black: 36%, forced: 0, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 Be7 
games: 27267, white: 53%, black: 40%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 c5 6. dxc5 Nc6 7. Bf4 Bxc5 8. Bd3
games: 7888, white: 53%, black: 39%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nce2 Nc6 7. Nf3 cxd4 
games: 7888, white: 53%, black: 39%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nce2 cxd4 7. Nf3 Nc6 
games: 27267, white: 53%, black: 40%, forced: 3, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 c5 6. dxc5 Bxc5 7. Bd3 Nc6 8. Bf4
games: 859, white: 58%, black: 37%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 c5 6. dxc5 Bxc5 7. Bd3 a6 8. Bf4
games: 7888, white: 53%, black: 39%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. f4 Nc6 7. Nf3 cxd4 
games: 7888, white: 53%, black: 39%, forced: 2, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nce2 c5 6. f4 cxd4 7. Nf3 Nc6 
games: 520, white: 62%, black: 33%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Qg4 c5 6. Nf3 Nc6 7. dxc5
games: 859, white: 58%, black: 37%, forced: 1, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. Nf3 a6 6. Bd3 c5 7. dxc5 Bxc5 8. Bf4
games: 11592, white: 53%, black: 40%, forced: 0, pgn:1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 a6 
