games: 234, white: 65%, black: 31%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 Nf6 6. Bxf4, forced: 0
games: 1812, white: 53%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Bg7 6. d4, forced: 0
games: 326, white: 58%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 h6 6. d4 g4 7. Nh4 f3 8. Be3 Bg7 , forced: 0
games: 326, white: 58%, black: 38%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 g4 7. Nh4 f3 8. Be3 Bg7 , forced: 0
games: 412, white: 56%, black: 40%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. h4, forced: 0
games: 315, white: 58%, black: 39%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 h6 6. d4 g4 7. Nh4 f3 8. Be3 Bg7 9. Qd2, forced: 0
games: 315, white: 58%, black: 39%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 g4 7. Nh4 f3 8. Be3 Bg7 9. Qd2, forced: 0
games: 1042, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 h6 6. d4, forced: 0
games: 1042, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3, forced: 0
games: 8057, white: 52%, black: 43%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3, forced: 0
games: 505, white: 53%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 g4 , forced: 0
games: 713, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3, forced: 0
games: 504, white: 53%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 g4 6. Nh4, forced: 0
games: 399, white: 55%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. h4 g4 , forced: 0
games: 521, white: 51%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 Nc6 6. d4, forced: 0
games: 445, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 h6 6. d4 g4 , forced: 0
games: 271, white: 56%, black: 41%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 h6 6. d4 g4 7. Nh4 f3 8. Be3 Bg7 9. Qd2 Nc6 , forced: 0
games: 445, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 g4 , forced: 0
games: 438, white: 52%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 h6 6. d4 g4 7. Nh4, forced: 0
