games: 1189, white: 59%, black: 33%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Bd3
games: 1189, white: 59%, black: 33%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nf3 Nxe4 7. Bd3
games: 627, white: 62%, black: 30%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Qe2 f5 8. Be3
games: 627, white: 62%, black: 30%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Bc5 6. Nf3 Nxe4 7. Qe2 f5 8. Be3
games: 250, white: 75%, black: 21%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nd2 Nf6 6. dxe4 Nxe4 
games: 2878, white: 55%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nc3 Bb4 6. Bd2
games: 267, white: 71%, black: 25%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nd2 Nf6 
games: 2751, white: 55%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nc3 Bb4 6. Bd2 Bxc3 7. Bxc3
games: 229, white: 78%, black: 19%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nd2 Nf6 6. dxe4
games: 708, white: 60%, black: 35%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 f5 5. dxe4 fxe4 
games: 2794, white: 54%, black: 34%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Qxd5 5. Nc3 Bb4 6. Bd2 Bxc3 
games: 346, white: 64%, black: 33%, pgn:1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 f5 5. dxe4 fxe4 6. Qh5+
