games: 9116, white: 63%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Nf3 c6 6. Ne5, forced: 0
games: 9116, white: 63%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. Nf3 e6 6. Ne5, forced: 0
games: 9116, white: 63%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. e3 c6 6. Ne5, forced: 0
games: 9116, white: 63%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. e3 e6 6. Ne5, forced: 1
games: 3241, white: 62%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 a6 5. Nf3 e6 6. Ne5, forced: 1
games: 3241, white: 62%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 a6 5. e3 e6 6. Ne5, forced: 2
games: 3241, white: 62%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 a6 5. Ne5 e6 6. e3, forced: 1
games: 17704, white: 55%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Nf3 c6 , forced: 0
games: 17704, white: 55%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. Nf3 e6 , forced: 0
games: 17704, white: 55%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. e3 c6 , forced: 0
games: 17704, white: 55%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. e3 e6 , forced: 1
games: 2487, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. Nf3 Nbd7 6. Ne5, forced: 0
games: 2487, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 Nbd7 5. Nf3 c6 6. Ne5, forced: 0
games: 2487, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. e3 Nbd7 6. Ne5, forced: 1
games: 2487, white: 56%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. Ne5 Nbd7 6. e3, forced: 1
games: 23894, white: 53%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. Nf3, forced: 0
games: 23894, white: 53%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. e3, forced: 1
games: 3335, white: 54%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. g4 Bg6 6. h4 h6 , forced: 3
games: 2800, white: 55%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. Qd2 e6 6. g4 Bg6 , forced: 3
games: 2800, white: 55%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 c6 5. f3 e6 6. g4 Bg6 , forced: 3
games: 2660, white: 55%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. Qd2 e6 6. g4, forced: 2
games: 2660, white: 55%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 c6 5. f3 e6 6. g4, forced: 2
