games: 641, white: 63%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. a4 Bd7 8. Nf3 cxd4 9. exd4, forced: 1
games: 641, white: 63%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. a4 cxd4 8. exd4 Bd7 9. Nf3, forced: 1
games: 641, white: 63%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. Nf3 Bd7 8. a4 cxd4 9. exd4, forced: 2
games: 641, white: 63%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 cxd4 7. exd4 Qb6 8. a4 Bd7 9. Nf3, forced: 1
games: 641, white: 63%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 cxd4 7. exd4 Qb6 8. Nf3 Bd7 9. a4, forced: 2
games: 1579, white: 59%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3 Bd6 8. Ne5 O-O 9. Bd3, forced: 2
games: 1579, white: 59%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3 Bd6 8. Bd3 O-O 9. Ne5, forced: 2
games: 1513, white: 58%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. g4, forced: 1
games: 3033, white: 58%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3 Bd6 8. Ne5, forced: 2
games: 3762, white: 58%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3 Bd6 , forced: 2
games: 1458, white: 58%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. a4, forced: 1
games: 1466, white: 58%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. a4 Bd7 8. Nf3, forced: 0
games: 1458, white: 58%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. a4 Be7 7. c3, forced: 1
games: 1466, white: 58%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Qb6 7. Nf3 Bd7 8. a4, forced: 1
games: 6718, white: 57%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3, forced: 0
games: 966, white: 58%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. g4 Bd6 , forced: 1
games: 407, white: 63%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. g4 Bd6 8. Qf3, forced: 1
games: 407, white: 63%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nb8 7. Qf3 Bd6 8. g4, forced: 1
games: 1779, white: 57%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Bd7 , forced: 1
games: 2487, white: 57%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c6 6. Nc3 Nc7 7. Nf3 Bd6 8. Ne5 O-O , forced: 2
games: 630, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 cxd4 7. exd4, forced: 1
games: 563, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Be7 7. a4 O-O 8. Bd3, forced: 1
games: 1594, white: 57%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 e6 4. Nb5 Na6 5. e3 c5 6. c3 Bd7 7. a4, forced: 1
