games: 2420, white: 54%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c5 6. Nb5, forced: 2
games: 1481, white: 56%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. f3 c6 , forced: 0
games: 2186, white: 53%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nb5 Na6 6. Nf3 c6 , forced: 3
games: 2186, white: 53%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. Nb5 Na6 6. e3 c6 , forced: 4
games: 1976, white: 53%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nf3 O-O 6. Nb5, forced: 3
games: 2340, white: 53%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. h4 c5 6. Nb5 Na6 , forced: 2
games: 1976, white: 53%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. e3 O-O 6. Nb5, forced: 3
games: 2186, white: 53%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nb5 Na6 5. e3 Bg7 6. Nf3 c6 , forced: 2
games: 2186, white: 53%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nb5 Na6 5. Nf3 Bg7 6. e3 c6 , forced: 3
games: 2340, white: 53%, black: 39%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 c5 5. Nb5 Na6 6. h4 Bg7 , forced: 2
games: 932, white: 58%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. f3 c6 5. e4, forced: 0
games: 7012, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. e3 Bg7 5. Nb5 Na6 6. Nf3, forced: 2
games: 7012, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. Nb5 Na6 6. e3, forced: 3
games: 7012, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nb5 Na6 5. e3 Bg7 6. Nf3, forced: 1
games: 7012, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nb5 Na6 5. Nf3 Bg7 6. e3, forced: 2
games: 6262, white: 51%, black: 41%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 g6 4. Nf3 Bg7 5. Nb5, forced: 2
