games: 14120, white: 56%, black: 36%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 c6 5. Nf3 Nf6 
games: 14122, white: 56%, black: 36%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. f4 d6 5. Nf3 Nf6 
games: 21105, white: 55%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Bc4 Nf6 5. Qe2
games: 15225, white: 55%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. dxc5 Qa5 
games: 9666, white: 57%, black: 36%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. dxc5 Qa5 5. Bd2
games: 9428, white: 57%, black: 37%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. dxc5 Qa5 5. Bd2 Qxc5 
games: 12135, white: 55%, black: 38%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nd7 5. Nf3
games: 20985, white: 54%, black: 39%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. Nf3 cxd4 5. Nxd4 d6 
games: 20985, white: 54%, black: 39%, forced: 2, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. Nge2 cxd4 5. Nxd4 d6 
games: 12423, white: 55%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nd7 
games: 8000, white: 56%, black: 37%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nc6 5. Be3
games: 91297, white: 53%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nf6 5. f3 O-O 
games: 15028, white: 54%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nf6 5. Qd2 Ng4 
games: 14031, white: 53%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. e5 dxe5 
games: 21448, white: 53%, black: 40%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 c6 5. Nf3
games: 21449, white: 53%, black: 40%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. f4 d6 5. Nf3
games: 43702, white: 52%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. dxc5
games: 28494, white: 53%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 e6 
games: 23499, white: 53%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nd7 
games: 31202, white: 52%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. e5
games: 3619, white: 60%, black: 34%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 e6 4. h4
games: 22773, white: 52%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 c6 
games: 22773, white: 52%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. f4 d6 
games: 23245, white: 52%, black: 40%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5 d6 5. Nf3
games: 55007, white: 51%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. Nf3 Nf6 5. d5 d6 
games: 55007, white: 51%, black: 40%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5 d6 5. Nf3 Nf6 
games: 259700, white: 51%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 
games: 71304, white: 52%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nf6 5. Qd2
games: 8441, white: 53%, black: 39%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5 d6 5. Bb5+
games: 223072, white: 51%, black: 41%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3
games: 4473, white: 55%, black: 38%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 Nc6 
games: 11632, white: 53%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 e6 4. Nf3
games: 4473, white: 55%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nc6 5. Nf3 Nf6 
games: 5637, white: 54%, black: 38%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5 d6 5. Bb5+ Bd7 
games: 6579, white: 54%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nf6 5. f3 Nbd7 
games: 161520, white: 51%, black: 41%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 
games: 2634, white: 59%, black: 34%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nc6 5. Be3 e5 
games: 15011, white: 50%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. h3 d5 5. Nf3 dxe4 
games: 15010, white: 50%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Nf3 d5 5. h3 dxe4 
games: 28801, white: 50%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Nf3 d5 5. h3
games: 47127, white: 51%, black: 41%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5 d6 
games: 28801, white: 50%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. h3 d5 5. Nf3
games: 15690, white: 52%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nd7 5. Qd2
games: 5610, white: 54%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Be3 Nf6 5. f3 d5 
games: 6082, white: 54%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nd7 5. Nf3
games: 176042, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nf6 
games: 166992, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4
games: 41554, white: 51%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5
games: 8221, white: 52%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nc6 5. h3
games: 9534, white: 53%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 e6 4. Nf3 Ne7 
games: 148129, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nf6 5. f3
games: 4524, white: 54%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. dxc5 Nc6 
games: 24938, white: 51%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nc6 
games: 52654, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Bc4 Nf6 
games: 9343, white: 52%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 c6 5. h3
games: 9343, white: 52%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Nf3 d6 5. h3
games: 9343, white: 52%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. h3 d6 5. Nf3
games: 41576, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nc6 
games: 9451, white: 52%, black: 40%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5 d6 5. Be2 Nf6 
games: 45576, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nf6 5. Bg5
games: 5255, white: 53%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nc6 5. h3 e5 
games: 84853, white: 50%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nf6 5. Be2
games: 4233, white: 54%, black: 40%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 c6 5. Nf3 Nd7 
games: 4233, white: 54%, black: 40%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nd7 5. Nf3 c6 
games: 15059, white: 51%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nf6 5. h3
games: 4234, white: 54%, black: 40%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. f4 d6 5. Nf3 Nd7 
games: 2056, white: 58%, black: 36%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nf6 5. Bg5 Nbd7 
games: 11929, white: 51%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 c6 5. h3 Nf6 
games: 11928, white: 51%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nf6 5. h3 c6 
games: 11931, white: 51%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Nf3 d6 5. h3 Nf6 
games: 24468, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nc6 5. Qd2
games: 368967, white: 50%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nf6 
games: 11931, white: 51%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Nf3 Nf6 5. h3 d6 
games: 11931, white: 51%, black: 40%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. h3 d6 5. Nf3 Nf6 
games: 4181, white: 53%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nf6 5. h3 c6 
games: 28632, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nf6 5. Qd2 O-O 
games: 2169, white: 56%, black: 36%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nf6 5. Bc4 Bg4 
games: 7536, white: 51%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. h3
games: 4181, white: 53%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Be3 Nf6 5. h3 d6 
games: 2169, white: 56%, black: 36%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Bc4 Nf6 5. Nf3 Bg4 
games: 4181, white: 53%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. h3 d6 5. Be3 Nf6 
games: 4181, white: 53%, black: 39%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. h3 Nf6 5. Be3 d6 
games: 30091, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nf6 5. Bg5 O-O 
games: 57126, white: 51%, black: 43%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Bg5
games: 1524, white: 60%, black: 34%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 e6 4. Nf3 Ne7 5. h4
games: 106144, white: 50%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Bc4 Nf6 5. Nf3
games: 106143, white: 50%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nf6 5. Bc4
games: 3603, white: 53%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nc6 5. d5
games: 2821, white: 54%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. dxc5 Nc6 5. Be3
games: 2821, white: 54%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. Be3 Nc6 5. dxc5
games: 3892, white: 53%, black: 39%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5 d6 5. Be2
games: 2138, white: 56%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Bg5 Nc6 5. Nge2
games: 20085, white: 51%, black: 42%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5 d6 5. f4 Nf6 
games: 2113, white: 56%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nc6 5. d5
games: 2375, white: 54%, black: 37%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nc6 5. d5 Ne5 
games: 6546, white: 52%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nf6 5. f3 Nc6 
games: 759208, white: 50%, black: 43%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 
games: 6546, white: 52%, black: 41%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nc6 5. f3 Nf6 
games: 1367, white: 58%, black: 36%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c5 4. d5 e5 
games: 2130, white: 55%, black: 38%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nd7 5. Nf3 Ngf6 
games: 76353, white: 49%, black: 41%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nf6 5. Be2 O-O 
games: 1900, white: 56%, black: 37%, forced: 1, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nd7 5. Nf3 e6 
games: 33775, white: 50%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 Nc6 
games: 12935, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Nf3 c6 5. Bc4
games: 12935, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Bc4 c6 5. Nf3
games: 13221, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 Nf6 5. Nf3 c6 
games: 12935, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Nf3 d6 5. Bc4
games: 12935, white: 51%, black: 42%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. Bc4 d6 5. Nf3
games: 1295, white: 58%, black: 36%, forced: 0, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 e6 4. h4 h5 
