games: 15257, white: 56%, black: 36%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Be7 5. Nf3 c6 6. Qc2
games: 15257, white: 56%, black: 36%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Be7 6. Qc2
games: 24000, white: 55%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Bb4 
games: 24000, white: 55%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Bb4 5. Nf3 c6 
games: 16904, white: 55%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Bd6 6. Qc2
games: 63936, white: 54%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Be7 5. Nf3 c6 
games: 32097, white: 54%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Be7 5. Nf3 c6 6. Bd3
games: 63936, white: 54%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Be7 
games: 32097, white: 54%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 Be7 5. Bd3 c6 6. Nf3
games: 32097, white: 54%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Be7 6. Bd3
games: 32097, white: 54%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Bd3 Be7 6. Nf3
games: 16302, white: 55%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Nf3 Bd6 6. Bd3 O-O 
games: 16302, white: 55%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c6 5. Bd3 Bd6 6. Nf3 O-O 
