games: 10360, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Nf3 Nc6 , forced: 0
games: 10360, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 Nc6 5. Nf3 e6 , forced: 0
games: 10360, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. d4 e6 , forced: 0
games: 10360, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. d4 Nc6 , forced: 0
games: 2885, white: 67%, black: 29%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Nf3 Nc6 6. c4, forced: 0
games: 2885, white: 67%, black: 29%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 Nc6 5. Nf3 e6 6. c4, forced: 0
games: 2885, white: 67%, black: 29%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. d4 e6 6. c4, forced: 0
games: 2885, white: 67%, black: 29%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. d4 Nc6 6. c4, forced: 0
games: 8353, white: 54%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. Bc4 Nb6 6. Bb3, forced: 0
games: 8353, white: 54%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Nf3 Nb6 6. Bb3, forced: 0
games: 8062, white: 54%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. Bc4 Nb6 , forced: 0
games: 8062, white: 54%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Nf3 Nb6 , forced: 0
games: 3237, white: 52%, black: 36%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. g3 e6 6. Bg2, forced: 0
games: 3237, white: 52%, black: 36%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. g3 Nc6 6. Bg2, forced: 0
games: 3237, white: 52%, black: 36%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 Nc6 5. Bg2 e6 6. Nf3, forced: 0
games: 3237, white: 52%, black: 36%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 Nc6 5. Nf3 e6 6. Bg2, forced: 0
games: 4746, white: 52%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4 5. Nf3 d6 6. Qxd4, forced: 0
games: 4746, white: 52%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 d6 5. Nf3 cxd4 6. Qxd4, forced: 0
games: 3237, white: 52%, black: 36%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 e6 5. Nf3 Nc6 6. Bg2, forced: 0
games: 4746, white: 52%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. d4 cxd4 6. Qxd4, forced: 0
games: 2635, white: 55%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. Bc4 Nb6 6. Bb3 c4 , forced: 1
games: 2635, white: 55%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Nf3 Nb6 6. Bb3 c4 , forced: 1
games: 2237, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. Bc4 Nb6 6. Bb3 d5 , forced: 0
games: 2237, white: 55%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Nf3 Nb6 6. Bb3 d5 , forced: 0
games: 3085, white: 53%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. Bc4 Nb6 6. Bb3 Nc6 , forced: 0
games: 3085, white: 53%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Nf3 Nb6 6. Bb3 Nc6 , forced: 0
games: 6975, white: 51%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Bc4 Nc6 6. Nf3, forced: 0
games: 4722, white: 51%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. g3, forced: 0
games: 6975, white: 51%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 Nc6 5. Bc4 e6 6. Nf3, forced: 0
games: 4722, white: 51%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 e6 5. Nf3, forced: 0
games: 6975, white: 51%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. Bc4 e6 6. d4, forced: 0
games: 6975, white: 51%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. Bc4 Nc6 6. d4, forced: 0
games: 6975, white: 51%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Nf3 Nc6 6. d4, forced: 0
games: 6975, white: 51%, black: 40%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. d4 Nc6 6. Nf3, forced: 0
games: 77846, white: 49%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3, forced: 0
games: 1118, white: 55%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Nf3 d6 6. c4, forced: 0
games: 1118, white: 55%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 d6 5. Nf3 e6 6. c4, forced: 0
games: 1118, white: 55%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. d4 d6 6. c4, forced: 0
games: 2595, white: 51%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. g3 e6 6. Bg2 d6 , forced: 0
games: 2595, white: 51%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. g3 d6 6. Bg2 Nc6 , forced: 0
games: 50878, white: 49%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4 5. Nf3 Nc6 6. Bc4, forced: 0
games: 1118, white: 55%, black: 35%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. d4 e6 6. c4, forced: 0
games: 2595, white: 51%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. g3 Nc6 6. Bg2 d6 , forced: 0
games: 50878, white: 49%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 Nc6 5. Nf3 cxd4 6. Bc4, forced: 0
games: 50878, white: 49%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. d4 cxd4 6. Bc4, forced: 0
games: 1881, white: 53%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. Bc4 Nb6 6. Bb3 d6 , forced: 0
games: 2595, white: 51%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 d6 5. Bg2 e6 6. Nf3 Nc6 , forced: 0
games: 2595, white: 51%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 Nc6 5. Bg2 e6 6. Nf3 d6 , forced: 0
games: 2116, white: 53%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Bc4 Nc6 6. Nf3 Nb6 , forced: 0
games: 1881, white: 53%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 d6 5. Bc4 Nb6 6. Bb3 e6 , forced: 0
games: 2595, white: 51%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 Nc6 5. Nf3 e6 6. Bg2 d6 , forced: 0
games: 1455, white: 55%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. b4, forced: 0
games: 1881, white: 53%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 Nb6 5. Bb3 d6 6. Nf3 e6 , forced: 0
games: 2595, white: 51%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 e6 5. Nf3 d6 6. Bg2 Nc6 , forced: 0
games: 23865, white: 50%, black: 42%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 , forced: 0
games: 6626, white: 51%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4 5. Nf3 e6 6. Bc4 Nb6 , forced: 0
games: 1881, white: 53%, black: 38%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Bc4 e6 5. Nf3 Nb6 6. Bb3 d6 , forced: 0
games: 2116, white: 53%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 Nc6 5. Bc4 e6 6. Nf3 Nb6 , forced: 0
games: 2595, white: 51%, black: 37%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3 e6 5. Nf3 Nc6 6. Bg2 d6 , forced: 0
games: 5938, white: 50%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. g3, forced: 0
games: 2116, white: 53%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. Bc4 e6 6. d4 Nb6 , forced: 0
games: 1240, white: 56%, black: 39%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 e6 5. b4 cxb4 , forced: 0
games: 9519, white: 50%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Nf3 d6 , forced: 0
games: 6626, white: 51%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 cxd4 5. Bc4 e6 6. Nf3 Nb6 , forced: 0
games: 9519, white: 50%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 d6 5. Nf3 e6 , forced: 0
games: 6626, white: 51%, black: 41%, pgn:1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. d4 e6 5. Nf3 cxd4 6. Bc4 Nb6 , forced: 0
