games: 7563, white: 59%, black: 34%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. Nxe5, forced: 0
games: 4689, white: 62%, black: 31%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O a6 5. Bxc6 dxc6 , forced: 1
games: 9893, white: 56%, black: 36%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bc5 5. Nxe5, forced: 0
games: 3581, white: 65%, black: 29%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O a6 5. Bxc6 dxc6 6. Nxe5, forced: 1
games: 14733, white: 54%, black: 36%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d4, forced: 1
games: 10357, white: 55%, black: 36%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d4 exd4 6. Nxd4, forced: 3
games: 3199, white: 63%, black: 31%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O a6 5. Bxc6, forced: 1
games: 5803, white: 56%, black: 36%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bc5 5. Nxe5 Nxe5 , forced: 1
games: 8975, white: 56%, black: 38%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O a6 , forced: 0
games: 5798, white: 56%, black: 36%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bc5 5. Nxe5 Nxe5 6. d4, forced: 1
games: 14629, white: 54%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d4 exd4 6. Nxd4 Bd7 , forced: 3
games: 7670, white: 55%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bb4 5. O-O d6 , forced: 0
games: 12680, white: 54%, black: 37%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d4 exd4 , forced: 2
games: 6681, white: 52%, black: 34%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Nd4 5. Nxd4 exd4 6. e5, forced: 2
games: 36925, white: 53%, black: 38%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 , forced: 0
games: 2016, white: 64%, black: 30%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Bb4 5. O-O d6 6. Nd5, forced: 0
games: 6481, white: 51%, black: 34%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Nc3 Nd4 5. Nxd4 exd4 6. e5 dxc3 , forced: 3
games: 2676, white: 56%, black: 35%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 d5 6. Re1 exd4 , forced: 2
