games: 46655, white: 57%, black: 35%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. cxd5
games: 91452, white: 54%, black: 37%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. cxd5 Qxd5 
games: 121178, white: 53%, black: 38%, forced: 2, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. cxd5 Qxd5 6. Nf3
games: 48843, white: 51%, black: 41%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 
games: 44464, white: 51%, black: 41%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 
games: 18141, white: 51%, black: 39%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 dxc4 
games: 15069, white: 52%, black: 40%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 e6 6. c5
games: 34317, white: 51%, black: 41%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nc6 5. Nc3
games: 15069, white: 52%, black: 40%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. c5 e6 6. Nc3
games: 15069, white: 52%, black: 40%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. Nc3 Nf6 6. c5
games: 15069, white: 52%, black: 40%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. c5 Nf6 6. Nc3
games: 17198, white: 51%, black: 40%, forced: 2, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 dxc4 6. Bxc4
games: 12199, white: 52%, black: 40%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. Nf3 e6 
games: 40236, white: 50%, black: 41%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 e6 5. Nc3
games: 12199, white: 52%, black: 40%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 e6 5. Nf3 Nf6 
games: 17198, white: 51%, black: 40%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 dxc4 5. Nc3 Nf6 6. Bxc4
games: 12156, white: 52%, black: 40%, forced: 1, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 dxc4 
games: 12199, white: 52%, black: 40%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Nf3 Nf6 5. Bd3 e6 
games: 6426, white: 56%, black: 36%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nf6 5. c3 e6 
games: 12156, white: 52%, black: 40%, forced: 0, pgn:1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 dxc4 5. Nc3 Nf6 
