games: 11, white: 81%, black: 18%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Bd3 Qb6 6. O-O
games: 23, white: 73%, black: 21%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c4 Bd6 6. dxc5
games: 38, white: 73%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. c3 Be7 6. Ne5
games: 23, white: 73%, black: 21%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 Bd6 5. Nf3 c5 6. dxc5
games: 23, white: 73%, black: 21%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c5 5. Nf3 Bd6 6. dxc5
games: 14, white: 71%, black: 14%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Qb6 6. Qb1
games: 14, white: 71%, black: 14%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Qb6 6. Qb1
games: 24, white: 70%, black: 16%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. Bd3 b6 6. Ne5
games: 17, white: 70%, black: 29%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. c3 Qb6 6. Qc2
games: 24, white: 70%, black: 16%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Nbd7 5. Nf3 b6 6. Ne5
games: 72, white: 68%, black: 29%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nd2 Be7 
games: 93, white: 68%, black: 29%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Bd3 h6 6. c3
games: 34, white: 67%, black: 20%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 b6 5. Bb5+
games: 50, white: 66%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Nbd7 5. Bg3
games: 27, white: 66%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. Bd3 c5 6. Nc3
games: 274, white: 66%, black: 29%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Bd3 h6 6. Nbd2
games: 80, white: 66%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Bd3 h6 6. h3
games: 21, white: 66%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Be7 6. Bg3
games: 21, white: 66%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. c3 c5 6. Bg3
games: 27, white: 66%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Nbd7 5. Nf3 c5 6. Nc3
games: 21, white: 66%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Be7 6. Bg3
games: 21, white: 66%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Be7 5. Nd2 c5 6. Bg3
games: 92, white: 65%, black: 29%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Be7 5. c4 c6 6. Qb3
games: 92, white: 65%, black: 29%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. c4 Be7 6. Qb3
games: 92, white: 65%, black: 29%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nf3 Be7 6. Qb3
games: 92, white: 65%, black: 29%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Qb3 Be7 6. Nf3
games: 92, white: 65%, black: 29%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 Be7 5. Nf3 c6 6. Qb3
games: 281, white: 64%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Bd3 h6 
games: 34, white: 64%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 b6 5. Bd3 Bb7 6. h3
games: 37, white: 64%, black: 24%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c5 5. Nc3 Nc6 6. a3
games: 74, white: 64%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c6 5. Nd2 Nbd7 6. c5
games: 19, white: 63%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Nbd7 5. Ne2
games: 164, white: 63%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Be7 6. Ne5
games: 19, white: 63%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 b6 5. Bd3 Bb7 6. Bg3
games: 11, white: 63%, black: 27%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 c5 5. cxd5 Nxd5 6. dxc5
games: 19, white: 63%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 Be7 5. Nc3 Nbd7 6. Rc1
games: 2200, white: 62%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Bd3 Be7 6. Nbd2
games: 2200, white: 62%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Be7 6. Bd3
games: 150, white: 62%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. Bd3 O-O 6. g4
games: 150, white: 62%, black: 36%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Be7 5. Nd2 O-O 6. g4
games: 26, white: 61%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Bd3 Nbd7 5. h3
games: 1875, white: 61%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Be7 
games: 180, white: 61%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Bd3 Be7 6. Ne5
games: 62, white: 61%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Qb6 6. Bd3
games: 68, white: 61%, black: 30%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c4 Be7 5. Nc3 Nbd7 6. c5
games: 28, white: 60%, black: 35%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 Nbd7 5. h3
games: 10, white: 60%, black: 40%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Be7 5. c4 b6 
games: 20, white: 60%, black: 30%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. h3 c5 6. Be2
games: 35, white: 60%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 Nbd7 5. h3 b6 6. Bd3
games: 215, white: 60%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Nbd7 6. Ne5
games: 133, white: 60%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c6 5. Nbd2 Qb6 6. Rb1
games: 35, white: 60%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bd3 b6 6. Qe2
