games: 14, white: 78%, black: 21%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Nf3 c5 6. Nb5 Qa5+ 
games: 14, white: 78%, black: 21%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. e3 c5 6. Nb5 Qa5+ 
games: 12, white: 75%, black: 25%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c5 5. e4 cxd4 6. Qxd4
games: 12, white: 75%, black: 25%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c5 5. e4 cxd4 6. Qxd4 Nc6 
games: 25, white: 68%, black: 28%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 a6 5. Nf3 h6 6. Be2
games: 25, white: 68%, black: 28%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 a6 5. e3 h6 6. Be2
games: 345, white: 67%, black: 27%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Nf3 c5 6. Nb5
games: 49, white: 67%, black: 28%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. dxc5 Nc6 6. Bb5
games: 345, white: 67%, black: 27%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. e3 c5 6. Nb5
games: 21, white: 66%, black: 28%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 e6 5. Nb5 Na6 6. a3
games: 20, white: 65%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 Nc6 5. f3 e6 6. h4
games: 52, white: 65%, black: 28%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. dxc5 Nc6 6. Bb5 e6 
games: 121, white: 64%, black: 32%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 6. dxc5
games: 455, white: 64%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Nf3 c5 6. Nb5 Na6 
games: 17, white: 64%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 a6 5. f3 h5 6. Bd3 Qd7 
games: 455, white: 64%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 6. Nf3 e6 
games: 455, white: 64%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. e3 c5 6. Nb5 Na6 
games: 30, white: 63%, black: 36%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c5 5. e4 cxd4 
games: 9116, white: 63%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Nf3 c6 6. Ne5
games: 9116, white: 63%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c6 5. Nf3 e6 6. Ne5
games: 11, white: 63%, black: 27%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. dxc5 e6 6. Bb5+
games: 9116, white: 63%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. e3 c6 6. Ne5
games: 9116, white: 63%, black: 29%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. e3 e6 6. Ne5
games: 122, white: 63%, black: 30%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nf3 Nc6 6. Bb5 Qb6 
games: 122, white: 63%, black: 30%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c5 5. e3 Nc6 6. Bb5 Qb6 
games: 3241, white: 62%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 a6 5. Nf3 e6 6. Ne5
games: 24, white: 62%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 e6 5. Qd2 Bd6 6. Bg5
games: 16, white: 62%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. Ne5 Bb4 6. a3
games: 3241, white: 62%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 a6 5. e3 e6 6. Ne5
games: 3241, white: 62%, black: 31%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 a6 5. Ne5 e6 6. e3
games: 24, white: 62%, black: 37%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 e6 5. f3 Bd6 6. Bg5
games: 78, white: 61%, black: 30%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 Nbd7 5. Nb5
games: 13, white: 61%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Be2 Bb4 6. g4
games: 13, white: 61%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 6. dxc5 Ne4 
games: 13, white: 61%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 e6 5. Qd2 Bd6 6. Bg5 h6 
games: 13, white: 61%, black: 30%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. Ne5 Bb4 6. a3 Bxc3+ 
games: 13, white: 61%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 e6 5. f3 Bd6 6. Bg5 h6 
games: 36, white: 61%, black: 30%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 a6 5. f3 h6 6. h4 e6 
games: 15, white: 60%, black: 33%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Qa5+ 
games: 358, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 e6 5. Nf3 c5 6. Ne5
games: 671, white: 60%, black: 33%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 6. c3
games: 118, white: 60%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 6. Nf3
games: 15, white: 60%, black: 33%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Qa5+ 6. c3
games: 97, white: 60%, black: 38%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. f3 c6 5. g4 Bc8 6. h4
games: 358, white: 60%, black: 34%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 e6 5. e3 c5 6. Ne5
games: 589, white: 60%, black: 33%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 6. c3 e6 
games: 25, white: 60%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Na6 6. dxc5 Rc8 
games: 28, white: 60%, black: 35%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. e3 c5 5. Nb5 Qa5+ 6. c3 Na6 
games: 20, white: 60%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Nf3 c6 5. Qd2 e6 6. a3 Nbd7 
games: 20, white: 60%, black: 40%, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 Bf5 4. Qd2 c6 5. Nf3 e6 6. a3 Nbd7 
