games: 10, white: 90%, black: 10%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb4 5. a3 Qxd4 6. Qa4+
games: 11, white: 81%, black: 18%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Bf5 5. Be2 Bg4 6. h3
games: 11, white: 81%, black: 18%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Bd3 Bf5 6. Qf3
games: 36, white: 80%, black: 19%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 Bg4 5. Be2 h5 6. dxc6
games: 24, white: 75%, black: 20%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Nb5 Qd7 6. Nf3
games: 20, white: 65%, black: 15%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. f3 Bh5 6. Ne2
games: 37, white: 70%, black: 21%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Bd3 e6 5. c4
games: 27, white: 70%, black: 22%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Bd3
games: 15, white: 73%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb4 6. Qa4+
games: 26, white: 73%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 e6 5. dxe6 Bxe6 6. Be2
games: 26, white: 73%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 e5 5. dxe6 Bxe6 6. Be2
games: 19, white: 73%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Be3 c6 5. Nf3 Bg4 6. c4
games: 61, white: 72%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd8 5. Bg5 Bf5 6. Qf3
games: 11, white: 72%, black: 27%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Bd3 e6 5. a3
games: 51, white: 70%, black: 25%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Bxd7+ Nbxd7 6. c4
games: 805, white: 70%, black: 25%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Bd2 Nc6 6. Bb5
games: 57, white: 70%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. c4 Bg4 5. Be2 h5 
games: 34, white: 70%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Nc6 5. Be2 Bf5 6. Be3
games: 34, white: 70%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Bf5 5. Be2 Nc6 6. Be3
games: 29, white: 68%, black: 24%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 c6 5. c3 Bf5 6. Nbd2
games: 29, white: 68%, black: 24%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Bf5 5. c3 c6 6. Nbd2
games: 64, white: 67%, black: 23%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Bd3 cxd5 5. h3 a6 6. a4
games: 18, white: 66%, black: 22%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 e6 5. Nf3 Nf6 6. Bf4
games: 18, white: 66%, black: 22%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nc3 c6 5. Nf3 e6 6. Ne4
games: 14, white: 71%, black: 28%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 a6 5. c7
games: 214, white: 69%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. Be2 Bf5 
games: 172, white: 69%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Nbd7 5. Be2 Bf5 6. c4
games: 17, white: 70%, black: 29%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Nc6 5. Nc3 Qh5 6. Nb5
games: 24, white: 70%, black: 29%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Bc4 Nc6 6. Nb5
games: 29, white: 68%, black: 27%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nf6 5. Be3 e6 6. Bd3
games: 52, white: 67%, black: 28%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Nc6 5. Nc3 Qh5 6. d5
games: 62, white: 67%, black: 29%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Bxd7+ Nbxd7 
games: 48, white: 60%, black: 22%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 e6 5. Nf3 c5 6. c4
games: 19, white: 68%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 Nxc6 5. Be3 Bg4 6. f3
games: 22, white: 63%, black: 27%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 e6 5. Nf3 Bd6 6. c4
games: 45, white: 62%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Bd2 Bf5 6. Qf3
games: 40, white: 65%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 c6 5. c4 Nb6 
games: 86, white: 65%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Nc6 5. c4 Nf6 6. Be3
games: 35, white: 62%, black: 28%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nc3 Nc6 5. Bc4 Nf6 6. d5
games: 15, white: 60%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Nc6 5. Be2 e6 6. c4
games: 15, white: 60%, black: 26%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 Nc6 5. Nf3 e6 6. c4
games: 12, white: 66%, black: 33%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 Bg4 5. h3 Bh5 6. dxc6
games: 171, white: 64%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Nc6 5. Be2 a6 6. O-O
games: 33, white: 63%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nc3 c6 5. Bd3 g6 6. h3
games: 108, white: 63%, black: 30%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nf3 Bg4 5. Nc3 Qh5 6. Bf4
games: 24, white: 62%, black: 29%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Bb5+ Bd7 5. Bd3 Nxd5 
games: 56, white: 64%, black: 32%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd8 5. Bf4 e6 6. Nb5
games: 61, white: 63%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 c6 5. Bd3 g6 6. O-O
games: 61, white: 63%, black: 31%, pgn:1. e4 d5 2. exd5 Nf6 3. d4 c6 4. Nf3 Nxd5 5. Bd3 g6 6. O-O
