games: 13, white: 76%, black: 23%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. h4 h5 5. Bg2 d6 6. Nh3
games: 14, white: 71%, black: 28%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 d6 5. d4 Bg7 6. dxc5 Nf6 
games: 76, white: 67%, black: 31%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 h5 5. d3 h4 6. g4
games: 12, white: 58%, black: 25%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nh3 Rb8 6. a4
games: 301, white: 62%, black: 30%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 d6 5. d3 e5 6. Nh3
games: 301, white: 62%, black: 30%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 d6 6. Nh3
games: 301, white: 62%, black: 30%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 e5 6. Nh3
games: 160, white: 60%, black: 31%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 d6 5. d4 Bg7 6. dxc5 dxc5 
games: 24, white: 58%, black: 29%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 h5 5. h3
games: 110, white: 62%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 Nf6 6. e5
games: 110, white: 62%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 Bg7 5. Bg2 Nf6 6. e5
games: 15, white: 60%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 d6 5. d4 cxd4 6. Nxd4 Nxd4 
games: 184, white: 59%, black: 33%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 d6 5. d4 Bg7 6. dxc5
games: 54, white: 57%, black: 31%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 h5 5. h3 Bg7 6. f4
games: 273, white: 59%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 d6 5. d4 Bg7 
games: 12, white: 50%, black: 25%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Nge7 6. Nh3
games: 49, white: 57%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Be3 d6 6. f4
games: 49, white: 57%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Be3 Bg7 6. f4
games: 99, white: 59%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 h5 5. h3 h4 6. g4
games: 32, white: 59%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. f4 d6 6. Nh3 Nf6 
games: 32, white: 59%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. f4 Bg7 6. Nh3 Nf6 
games: 32, white: 59%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 d6 5. d3 Bg7 6. Nh3 Nf6 
games: 73, white: 58%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 Nge7 6. h4
games: 46, white: 58%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nge2 e5 6. O-O Nd4 
games: 46, white: 58%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. Nge2 Bg7 6. O-O Nd4 
games: 46, white: 58%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 Bg7 5. Bg2 e5 6. O-O Nd4 
games: 46, white: 58%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 e5 5. Bg2 Bg7 6. O-O Nd4 
games: 111, white: 57%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 d6 5. d3 Bd7 6. Nge2
games: 111, white: 57%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 d6 5. Nge2 Bd7 6. d3
games: 28, white: 57%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. f4 d6 6. h3
games: 111, white: 57%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bd7 6. Nge2
games: 28, white: 57%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. f4 Bg7 6. h3
games: 28, white: 57%, black: 35%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 d6 5. d3 Bg7 6. h3
games: 4998, white: 57%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e6 6. Be3 Nge7 
games: 38, white: 57%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Rb8 5. d3 b5 6. f4 b4 
games: 4998, white: 57%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e6 6. Be3 Nge7 
games: 4998, white: 57%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Be3 e6 6. Bg2 Nge7 
games: 4998, white: 57%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 Bg7 6. Be3 Nge7 
games: 548, white: 57%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 Nge7 6. Be3 b6 
games: 4998, white: 57%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 Nge7 6. Be3 Bg7 
games: 38, white: 57%, black: 36%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Rb8 5. Bg2 b5 6. f4 b4 
games: 10, white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 h5 5. Be3
games: 15, white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. h4
games: 10, white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 e6 6. e5 f6 
games: 10, white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 d6 6. h4 h6 
games: 10, white: 60%, black: 40%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. f4 Bg7 5. Bg2 e6 6. e5 f6 
games: 46, white: 54%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. Nh3
games: 44, white: 54%, black: 34%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 e6 5. Bg2 d6 6. h4
games: 73, white: 58%, black: 39%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 d6 5. d4 Bg7 6. d5
games: 71, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Rb8 5. d3 b5 6. f4
games: 71, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Rb8 5. Bg2 b5 6. f4
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e5 6. Nh3 Nge7 
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nh3 e5 6. d3 Nge7 
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Bg7 6. Nh3 Nge7 
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Nge7 6. Nh3 Bg7 
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. Nh3 Bg7 6. d3 Nge7 
games: 896, white: 57%, black: 38%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e5 6. Nh3 Nge7 
games: 235, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nge2 Nf6 6. h3
games: 81, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 e5 5. d3 Nge7 6. f4
games: 235, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Nge2 Bg7 5. Bg2 Nf6 6. h3
games: 680, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e5 6. Be3 Nge7 
games: 1678, white: 56%, black: 37%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e5 6. Nh3 d6 
