white: 22%, black: 73%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. h4 f6 
white: 28%, black: 66%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 10. b5 Nxd4 
white: 29%, black: 66%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1 Qxd4 13. Qc3
white: 29%, black: 66%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1 Qxd4 13. Qc3 Bc5 
white: 28%, black: 66%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 10. b5 Nxd4 
white: 29%, black: 66%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1 Qxd4 13. Qc3
white: 29%, black: 66%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1 Qxd4 13. Qc3 Bc5 
white: 29%, black: 65%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 
white: 29%, black: 65%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1
white: 29%, black: 65%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1 Qxd4 
white: 29%, black: 65%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 
white: 29%, black: 65%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1
white: 29%, black: 65%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1 Qxd4 
white: 29%, black: 64%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 10. b5 Nxd4 11. Nxd4
white: 31%, black: 64%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1 Qxd4 13. Qc3 Bc5 14. O-O
white: 29%, black: 64%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 10. b5 Nxd4 11. Nxd4
white: 31%, black: 64%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1 Qxd4 13. Qc3 Bc5 14. O-O
white: 31%, black: 63%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 
white: 31%, black: 63%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 10. b5
white: 31%, black: 63%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 
white: 31%, black: 63%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 10. b5
white: 34%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxd4 8. cxd4 Rc8 9. Bb2 Na5 10. Bd3 Ne7 
white: 34%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxd4 8. cxd4 Rc8 9. Bb2 Na5 10. Bd3 Ne7 11. Nbd2 Nc4 
white: 28%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxd4 8. cxd4 Rc8 9. Bb2 Nxb4 10. axb4 Qxb4+ 11. Qd2 Rc2 
white: 34%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxb4 8. cxb4 Rc8 9. Bb2 Na5 10. Bd3 Ne7 
white: 34%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxb4 8. cxb4 Rc8 9. Bb2 Na5 10. Bd3 Ne7 11. Nbd2 Nc4 
white: 28%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxb4 8. cxb4 Rc8 9. Bb2 Nxb4 10. axb4 Qxb4+ 11. Qd2 Rc2 
white: 31%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 cxd4 8. cxd4 Rc8 9. b4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1 Qxd4 13. Nd2 Qxe5 
white: 31%, black: 62%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. Be2 Rc8 8. b4 cxd4 9. cxd4 a5 10. b5 Nxd4 11. Nxd4 Rxc1 12. Qxc1 Qxd4 13. Nd2 Qxe5 
white: 32%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Nbd2 Na5 8. g3 Bd7 9. h4 O-O-O 10. Bh3 f5 
white: 33%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Nbd2 Na5 8. g3 Bd7 9. h4 O-O-O 10. Bh3 f5 11. exf6
white: 32%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Nbd2 Na5 8. h4 Bd7 9. g3 O-O-O 10. Bh3 f5 
white: 33%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Nbd2 Na5 8. h4 Bd7 9. g3 O-O-O 10. Bh3 f5 11. exf6
white: 32%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Nbd2 Bd7 8. g3 Na5 9. h4 O-O-O 10. Bh3 f5 
white: 33%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 c4 7. Nbd2 Bd7 8. g3 Na5 9. h4 O-O-O 10. Bh3 f5 11. exf6
white: 33%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxd4 8. cxd4 Rc8 9. Bb2 Na5 10. Bd3 Ne7 11. Nbd2 Nc4 12. Bxc4
white: 33%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxd4 8. cxd4 Rc8 9. Bb2 Na5 10. Bd3 Ne7 11. Nbd2 Nc4 12. Bxc4 dxc4 
white: 33%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxb4 8. cxb4 Rc8 9. Bb2 Na5 10. Bd3 Ne7 11. Nbd2 Nc4 12. Bxc4
white: 33%, black: 61%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxb4 8. cxb4 Rc8 9. Bb2 Na5 10. Bd3 Ne7 11. Nbd2 Nc4 12. Bxc4 dxc4 
white: 35%, black: 60%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Nh6 7. b4 cxd4 8. cxd4 Nf5 9. Be3 f6 10. exf6 gxf6 11. Bd3 Nxe3 12. fxe3 Bh6 13. Qe2 a5 14. b5 Ne7 
white: 35%, black: 60%, pgn:1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. a3 Bd7 7. b4 cxd4 8. cxd4 Rc8 9. Bb2 Na5 10. Bd3 Ne7 11. Nbd2
