white: 25%, black: 75%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 Nbd7 5. Bd3 e6 
white: 26%, black: 73%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Be3 a6 
white: 28%, black: 71%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 Nc6 5. Be3 g6 
white: 33%, black: 66%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 Qc7 5. Bb5 Nf6 
white: 33%, black: 66%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nd7 5. Bb5 Nf6 
white: 31%, black: 65%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Bc4 Ngf6 
white: 36%, black: 63%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Bc4 Ngf6 5. Qe2
white: 23%, black: 61%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 a6 5. a4 Nc6 
white: 40%, black: 60%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 g6 5. dxc5 d5 
white: 36%, black: 60%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. d5 Nbd7 
white: 40%, black: 59%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. d5 Bd7 
white: 36%, black: 59%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. d5 Bd7 6. Nc3
white: 34%, black: 59%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bd3 dxc3 6. bxc3
white: 34%, black: 59%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. Nf3 dxc3 6. bxc3
white: 41%, black: 58%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. f4 Nd7 5. e5
white: 33%, black: 58%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 Nf6 5. d5 Nbd7 
white: 29%, black: 58%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 dxc3 5. bxc3 Nf6 
white: 33%, black: 58%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Bc4 Nf6 5. cxd4 d5 
white: 29%, black: 58%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 a6 5. Be2 Ngf6 
white: 37%, black: 58%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bd3 dxc3 6. h3
white: 37%, black: 58%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 cxd4 5. Nf3 dxc3 6. h3
white: 38%, black: 57%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bc4 Nxe4 
white: 39%, black: 57%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Bc4 Nf6 5. cxd4 g6 
white: 33%, black: 57%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. f3 Nc6 5. dxc5 e6 
white: 35%, black: 57%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. cxd4 g6 5. f4 Bg7 6. e5
white: 37%, black: 57%, pgn:1. e4 c5 2. c3 d6 3. d4 cxd4 4. Nf3 Nf6 5. Bc4 Nxe4 6. O-O
white: 38%, black: 57%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Bd3 e5 5. Ne2 Nbd7 6. d5
white: 41%, black: 57%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 Qc7 5. Be3 a6 6. Be2
white: 41%, black: 57%, pgn:1. e4 c5 2. c3 d6 3. d4 Nd7 4. Nf3 a6 5. Be3 Qc7 6. Be2
white: 41%, black: 57%, pgn:1. e4 c5 2. c3 d6 3. d4 Qc7 4. Nf3 Nd7 5. Be3 a6 6. Be2
white: 38%, black: 56%, pgn:1. e4 c5 2. c3 d6 3. d4 Nf6 4. Nd2 g6 
