white: 94%, black: 5%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Nf3 h6 6. Bd3 Nf6 7. Bf4
white: 80%, black: 20%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Nf3 Nf6 6. Nxf6+
white: 80%, black: 16%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 b6 6. Bb5 Bb7 7. Ne5
white: 80%, black: 16%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Nf3 Nd7 6. Bb5 Bb7 7. Ne5
white: 80%, black: 16%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Bb5+ Nd7 6. Nf3 Bb7 7. Ne5
white: 78%, black: 13%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ Qxf6 6. g3 Nc6 7. c3
white: 76%, black: 23%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 b6 6. Bb5 Bd6 
white: 76%, black: 23%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Nf3 Nd7 6. Bb5 Bd6 
white: 76%, black: 23%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Bb5+ Nd7 6. Nf3 Bd6 
white: 75%, black: 21%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Nf3 Nf6 6. Nxf6+ gxf6 7. g3
white: 73%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 Ngf6 6. Bg5 b6 7. Ne5
white: 73%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Bg5 Ngf6 6. Nf3 b6 7. Ne5
white: 73%, black: 23%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ Qxf6 6. g3 c5 7. Be3
white: 73%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bg5 Nbd7 6. Nf3 b6 7. Ne5
white: 73%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Bd3 Bc6 6. c3 Be7 7. Ne2
white: 73%, black: 26%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. c3 Bc6 6. Bd3 Be7 7. Ne2
white: 72%, black: 24%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Nf3 b6 6. Bg5
white: 72%, black: 18%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Bd3 b6 6. Qf3
white: 72%, black: 24%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Nf3 Nd7 6. Bg5
white: 72%, black: 18%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Qf3 c6 6. Bg5
white: 72%, black: 27%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Neg5 Be7 7. h4
white: 71%, black: 25%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Nf3 Bb7 6. Neg5
white: 71%, black: 25%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Qf3 c6 6. Bf4
white: 71%, black: 28%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Be7 5. Nf3 h6 6. Bd3 b6 
white: 71%, black: 19%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Qf3 c6 6. Bg5 Be7 
white: 71%, black: 23%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. g3 Ngf6 6. Nxf6+ gxf6 7. Bg2
white: 71%, black: 17%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 b6 5. Nf3 Bb7 6. Bb5+ c6 7. Bc4
white: 70%, black: 20%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. Bd3 Ndf6 6. Ng3
white: 70%, black: 24%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7 5. g3 Ngf6 6. Nxf6+ gxf6 
white: 70%, black: 30%, pgn:1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Nf3 Bc6 6. Ned2 Be7 
