white: 89%, black: 5%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 c6 5. e3 Bd6 6. Nf3 Ne4 7. c5
white: 81%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 a6 5. e3 c5 6. dxc5 Bxc5 7. a3
white: 80%, black: 16%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 c6 5. e3 a6 6. c5 Nbd7 7. Bd3
white: 78%, black: 7%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 c6 6. c5 h6 7. Bd3
white: 78%, black: 7%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 c6 5. e3 Be7 6. c5 h6 7. Bd3
white: 76%, black: 23%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 O-O 6. Rc1 a6 7. c5
white: 73%, black: 20%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 a6 5. e3 Nbd7 6. Nf3 Bb4 7. Rc1
white: 72%, black: 27%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 c6 5. e3 Nbd7 6. Qb3 Qb6 7. h3
white: 72%, black: 27%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 c6 5. e3 Nbd7 6. Qb3 Nh5 7. Bg3
white: 70%, black: 20%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 a6 6. cxd5 Nxd5 7. e3
white: 70%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 c6 5. e3 Bb4 6. Qb3 Bd6 7. Bg5
white: 70%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Bb4 5. e3 c6 6. Qb3 Bd6 7. Bg5
white: 69%, black: 21%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Bd6 5. Bxd6 cxd6 6. cxd5 exd5 7. g3
white: 68%, black: 27%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 c6 5. e3 Bd6 6. Nf3 Qe7 7. Bxd6
white: 66%, black: 28%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 c6 6. Nf3 b6 7. Bd3
white: 66%, black: 28%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 c6 6. c5 b6 7. b4
white: 66%, black: 33%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 O-O 6. c5 Ne4 7. Rc1
white: 66%, black: 28%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 c6 6. e3 b6 7. Bd3
white: 66%, black: 33%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 c6 6. Qc2 Nbd7 7. O-O-O
white: 66%, black: 26%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 a6 6. c5 c6 7. h3
white: 66%, black: 33%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 Nbd7 6. Nb5 O-O 7. Bxc7
white: 66%, black: 28%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 c6 5. e3 Be7 6. Nf3 b6 7. Bd3
white: 66%, black: 28%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 c6 5. e3 Be7 6. c5 b6 7. b4
white: 65%, black: 30%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Bd6 5. Bxd6 cxd6 6. cxd5 O-O 
white: 65%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. Rc1 Nbd7 7. cxd5
white: 65%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 Nbd7 6. Rc1 O-O 7. cxd5
white: 65%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Rc1 O-O 6. e3 Nbd7 7. cxd5
white: 65%, black: 28%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Bd6 5. Bg5 c6 6. Nf3 dxc4 7. e4
white: 65%, black: 31%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 a6 5. e3 dxc4 6. Bxc4 b5 7. Qf3
white: 63%, black: 36%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 Nbd7 6. Rc1
white: 63%, black: 32%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 a6 6. c5 b6 
white: 63%, black: 31%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 O-O 6. c5 Nc6 7. h3
white: 63%, black: 36%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 c6 6. Nf3 b6 7. Rc1
white: 63%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 Nbd7 6. Nf3 a6 7. c5
white: 63%, black: 36%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 O-O 6. Rc1 c6 7. h3
white: 63%, black: 36%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 c6 6. e3 b6 7. Rc1
white: 63%, black: 34%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 a6 6. c5 b6 7. b4
white: 63%, black: 27%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 a6 6. c5 b6 7. cxb6
white: 63%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 a6 6. c5 Nbd7 7. e3
white: 63%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 Nbd7 6. e3 a6 7. c5
white: 63%, black: 31%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. c5 O-O 6. e3 Nc6 7. h3
white: 63%, black: 36%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 c6 5. e3 Be7 6. Nf3 b6 7. Rc1
white: 63%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 a6 5. e3 Nbd7 6. Nf3 Be7 7. c5
white: 62%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 c6 6. c5 h6 
white: 62%, black: 30%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 a6 6. c5 c6 
white: 62%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 c6 5. e3 Be7 6. c5 h6 
white: 62%, black: 33%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 Nbd7 6. Nf3 b6 7. cxd5
white: 62%, black: 32%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. e3 Nbd7 6. Nf3 c5 7. dxc5
white: 62%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 O-O 6. c5 a5 7. h3
white: 62%, black: 25%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 O-O 6. Rc1 Nbd7 7. c5
white: 62%, black: 31%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 a6 6. c5 c6 7. e3
white: 62%, black: 33%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bf4 Be7 5. Nf3 Nbd7 6. e3 b6 7. cxd5
