white: 69%, black: 26%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Bb4 5. Qb3 Nc6 6. Bd2 a5 
white: 66%, black: 28%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. g3 Bd6 6. Qd3
white: 65%, black: 30%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. cxd5 c6 
white: 65%, black: 27%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. cxd5 Nxd5 6. g3
white: 65%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. cxd5 Nxd5 6. e4 Nf6 
white: 65%, black: 29%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Bb4 5. cxd5 Nxd5 6. Bd2 Nc6 
white: 64%, black: 31%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. cxd5 c6 6. dxe6
white: 63%, black: 32%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. Bf4 a6 6. c5 b6 
white: 62%, black: 27%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. cxd5 c6 6. dxc6
white: 62%, black: 31%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Bb4 5. cxd5 Nxd5 6. Bd2
white: 62%, black: 30%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. Bf4 a6 6. c5 c6 
white: 62%, black: 37%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. g3 O-O 6. b3 Nbd7 
white: 62%, black: 31%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. cxd5 Nxd5 6. e4 Nf6 
white: 62%, black: 32%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. cxd5 c6 6. dxe6 Bxe6 
white: 62%, black: 33%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Bb4 6. Qc2 h6 
white: 62%, black: 33%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c5 5. Bg5 Be7 6. g3 Nc6 
white: 62%, black: 33%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c5 5. Bg5 Nc6 6. g3 Be7 
white: 62%, black: 33%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c5 5. g3 Nc6 6. Bg5 Be7 
white: 61%, black: 22%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. Bf4 c5 6. Nb5
white: 61%, black: 38%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. Bg5 c6 6. Bxf6 Nd7 
white: 61%, black: 33%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. Bf4 Nbd7 6. Nb5 O-O 
white: 61%, black: 22%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Be7 5. Bf4 c5 6. Nb5 Na6 
