white: 92%, black: 7%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 cxd4 5. Bc4 d3 6. Bg5
white: 83%, black: 16%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Nd5 5. d4 g6 6. dxc5
white: 78%, black: 17%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bb5 Nf6 5. Qe2 a6 6. Bxc6
white: 76%, black: 22%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 Nge7 5. d4 a6 6. Bd3
white: 75%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 Nf6 5. e5 Ng8 6. a3
white: 75%, black: 16%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bd3 d5 5. O-O d4 6. cxd4
white: 74%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Nf6 5. d3 h6 6. a3
white: 73%, black: 20%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. Bd3 Nf6 5. e5 Ne4 6. Bb5
white: 73%, black: 20%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. Bd3 d5 5. e5 Ne4 6. Bb5
white: 73%, black: 22%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 d6 5. O-O Nf6 6. Ng5
white: 72%, black: 18%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 e5 5. Qb3 Qe7 
white: 70%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. d4 Nf6 5. Bd3 Qb6 6. O-O
white: 70%, black: 30%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 Bg7 5. d3 e5 6. Nbd2
white: 70%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d3 Bg7 5. g3 e6 6. Be3
white: 69%, black: 25%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e5 4. Bc4 Nf6 5. Qe2 Be7 6. d3
white: 69%, black: 23%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. Bc4 e5 5. d4 cxd4 6. Qb3
white: 68%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 d4 5. Bd3 e6 6. cxd4
white: 68%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 e6 5. Bd3 d4 6. cxd4
white: 68%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. Bd3 Bg4 5. h3 Bh5 6. O-O
white: 68%, black: 31%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 Nf6 4. e5 Ng4 5. d4 d6 6. exd6
white: 68%, black: 26%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bb5 a6 5. Bxc6 dxc6 6. d3
white: 68%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 e6 4. Bd3 d5 5. e5 d4 6. cxd4
white: 68%, black: 32%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 g6 4. d4 Bg7 5. dxc5 Qa5 6. Na3
white: 67%, black: 20%, pgn:1. e4 c5 2. c3 Nc6 3. Nf3 d5 4. e5 d4 5. Bc4 Bf5 6. Qb3
