white: 93%, black: 6%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 Nf6 5. e5 Ng8 6. Nc3
white: 83%, black: 16%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Nd7 5. Bf4 Ngf6 6. Nge2
white: 80%, black: 14%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 Nf6 5. e5 Ng8 6. Bc4
white: 76%, black: 15%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. Nc3 e3 5. Bxe3 g6 6. h4
white: 75%, black: 16%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Be3 Qb6 5. Nd2
white: 74%, black: 22%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 Qb6 5. Nf3 Bg4 6. c3
white: 72%, black: 25%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 e6 5. h4
white: 71%, black: 25%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 Qb6 5. Nf3 e5 
white: 71%, black: 26%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 Nf6 5. e5 Ne4 6. Nf3
white: 70%, black: 27%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Nc3 e6 5. Be3 Bg7 6. h4
white: 69%, black: 30%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 f5 5. Bd3 Bd6 6. e5
white: 69%, black: 25%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. c4 Nf6 5. Nc3 Be7 6. cxd5
white: 68%, black: 31%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. Nc3 e3 5. Bd3
white: 67%, black: 30%, pgn:1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 Qb6 5. Nf3 Nf6 
white: 66%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. f3 g6 4. Be3 Nf6 5. e5
white: 66%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 Bb4 5. Bd2 dxe4 6. Qe2
white: 66%, black: 27%, pgn:1. e4 c6 2. d4 d5 3. f3 e6 4. Nc3 f5 5. Bd3 Nf6 6. exf5
