white: 83%, black: 16%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qb6 5. Nc3 a6 6. h5 h6 7. g4 Bd7 8. f4 e6 
white: 81%, black: 18%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qb6 5. Nc3 a6 6. h5 h6 7. g4 Bd7 8. f4
white: 80%, black: 20%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Nd7 6. Nc3
white: 80%, black: 20%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Ne7 7. Nge2 Ng6 8. Bg5
white: 73%, black: 26%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Bg4 6. Be2 Bxe2 7. Qxe2 e6 8. Bg5
white: 72%, black: 27%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. h5 Bd7 6. c3
white: 72%, black: 22%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Bg4 6. f3 Be6 7. Ne2
white: 72%, black: 27%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Nd7 7. Nf3 Nh6 8. Bxh6
white: 72%, black: 22%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Be4 6. f3 Bg6 7. h5 Bh7 8. e6 f6 
white: 71%, black: 28%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Qa5+ 6. Nd2 c5 7. c3
white: 70%, black: 30%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Bb4 7. Bg5 Ne7 8. Qb3
white: 69%, black: 30%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Qc7 6. Ne2 e6 
white: 69%, black: 30%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. h5 Bd7 6. c3 e6 
white: 69%, black: 30%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 Bxb1 6. Rxb1 e6 7. c5
white: 69%, black: 30%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. Ne2 e6 6. Ng3 Bh7 7. h5 c5 8. dxc5
white: 69%, black: 30%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. Ne2 e6 6. Ng3 Bh7 7. h5 c5 8. dxc5 Bxc5 
white: 68%, black: 27%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Nd7 6. Bd3
white: 68%, black: 27%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Nd7 6. Bd3 Bxd3 
white: 68%, black: 27%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Nd7 6. Bd3 Bxd3 7. Qxd3
white: 68%, black: 31%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Be4 6. f3 Bh7 7. e6 Nf6 8. Nc3
white: 67%, black: 31%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Qc7 6. Bd3 Bxd3 7. Qxd3 e6 8. Ne2
white: 67%, black: 32%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qb6 5. c4 dxc4 6. Nc3 h5 7. Bxc4 e6 8. Nf3
white: 66%, black: 29%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Nd7 
white: 66%, black: 29%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Qc7 6. c4
white: 66%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Qc7 6. Ne2
white: 66%, black: 23%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qb6 5. Nc3 a6 6. h5 h6 
white: 66%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Qd7 6. Bg5 g6 7. Ne2
white: 66%, black: 27%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Bd7 6. Nc3 h5 7. f3
white: 66%, black: 26%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qb6 5. Nc3 a6 6. h5 h6 7. g4
white: 66%, black: 30%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Nd7 6. Bd3 Bxd3 7. Qxd3 Qa5+ 8. Nd2
white: 66%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Bb4 7. Qb3 Qb6 8. a3
white: 66%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Nd7 7. Nf3 Nh6 8. Bxh6 Rxh6 
white: 65%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Nh6 6. Bxh6 Bxd3 7. Qxd3 Rxh6 8. Nf3
white: 65%, black: 29%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Nd7 7. Bg5 Ne7 8. cxd5
white: 65%, black: 34%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Be4 6. f3 Bg6 7. e6 Nf6 8. h5
white: 65%, black: 30%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. Bd3 Bxd3 6. Qxd3 Qa5+ 7. Nd2 Qa6 8. c4
white: 65%, black: 30%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 e6 6. Bxf5 exf5 7. Nf3 Na6 8. c3 Nc7 
white: 65%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Be4 6. f3 Bg6 7. h5 Bh7 8. c4 e6 
white: 64%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Bxd3 6. Qxd3 Qa5+ 7. Bd2 Qb6 8. e6
white: 64%, black: 32%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Nd7 6. Bd3 Bxd3 7. Qxd3 Qa5+ 8. Bd2
white: 64%, black: 32%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Bb4 7. Bg5 Qa5 8. Ne2
white: 64%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Be7 7. Nge2 dxc4 8. Ng3
white: 64%, black: 32%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Bg5 Qa5+ 7. Nc3 Bb4 8. Ne2
white: 64%, black: 28%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. g4 Be4 6. f3 Bg6 7. h5 Bh7 8. Nc3
white: 64%, black: 28%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Nd7 7. cxd5 exd5 8. Nge2 Ne7 
white: 63%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. Ne2 Bh7 
white: 63%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Nh6 6. Bxh6
white: 63%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h6 5. c4 e6 6. Ne2
white: 63%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Nh6 6. Bxh6 Bxd3 
white: 63%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Qa5+ 6. Nc3 e6 7. Bd3 g6 
white: 63%, black: 36%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 e6 6. Bxf5 exf5 7. Nf3 Na6 8. Qd3
white: 63%, black: 27%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 dxc4 6. Bxc4 e6 7. Nf3 Nd7 8. O-O
white: 63%, black: 32%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Nd7 7. cxd5 cxd5 8. Bd3 Ne7 
white: 62%, black: 25%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 Qb6 5. Nc3 a6 6. h5
white: 62%, black: 31%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 g6 6. Nc3 Bh6 
white: 62%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Nh6 6. Bxh6 Bxd3 7. Qxd3
white: 62%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Bg4 6. Be2 e6 7. Bxg4
white: 62%, black: 33%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 f6 6. Bf4 Nd7 7. Nf3
white: 62%, black: 35%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Nh6 6. Bxh6 Bxd3 7. Qxd3 Rxh6 
white: 62%, black: 37%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bd3 Bg4 6. Be2 e6 7. Bxg4 hxg4 
white: 62%, black: 31%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. Bg5 Qc7 6. Bd3 Bxd3 7. Qxd3 e6 8. c4
white: 62%, black: 31%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Nd7 7. cxd5 exd5 8. Nf3
white: 62%, black: 34%, pgn:1. e4 c6 2. d4 d5 3. e5 Bf5 4. h4 h5 5. c4 e6 6. Nc3 Nd7 7. Nge2 Be7 8. g3
