games: 10, white: 10%, black: 40%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. h3 Nbd7 
games: 10, white: 10%, black: 40%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. h3 Nbd7 
games: 10, white: 10%, black: 40%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. h3 Nbd7 
games: 10, white: 40%, black: 60%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 a6 6. a4
games: 17, white: 23%, black: 41%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nge2 Bg4 
games: 21, white: 28%, black: 42%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. Bc4 a6 
games: 23, white: 34%, black: 47%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 g6 6. Be2 Bg7 7. O-O O-O 
games: 23, white: 34%, black: 47%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 g6 6. Be2 Bg7 7. O-O O-O 
games: 31, white: 22%, black: 35%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nge2 c6 6. Bf4 Qd8 
games: 41, white: 29%, black: 41%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nb5 Qb6 
games: 32, white: 28%, black: 40%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nb5 Qb6 6. c4
games: 31, white: 32%, black: 41%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 g6 6. Be2
games: 31, white: 32%, black: 41%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 g6 6. Be2
games: 24, white: 37%, black: 45%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 g6 6. Be2 Bg7 7. O-O
games: 24, white: 37%, black: 45%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 g6 6. Be2 Bg7 7. O-O
games: 14, white: 35%, black: 42%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bd3 g6 6. Nge2
games: 16, white: 18%, black: 25%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. g3 Bf5 7. Bg2 e6 8. O-O Nbd7 
games: 16, white: 18%, black: 25%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. g3 Bf5 7. Bg2 e6 8. O-O Nbd7 
games: 16, white: 18%, black: 25%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 Nf6 5. d4 c6 6. g3 Bf5 7. Bg2 e6 8. O-O Nbd7 
games: 17, white: 35%, black: 41%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bd3 g6 
games: 20, white: 30%, black: 35%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nge2 Bf5 
games: 67, white: 23%, black: 28%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 c6 6. g3 Bf5 7. Bg2 e6 8. O-O
games: 67, white: 23%, black: 28%, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c6 5. Nf3 Nf6 6. g3 Bf5 7. Bg2 e6 8. O-O
