games: 15, white: 13%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. f4 e6 7. Nge2 Nge7 
games: 15, white: 13%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 d6 6. d3 e6 7. Nge2 Nge7 
games: 15, white: 13%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 e6 6. d3 d6 7. Nge2 Nge7 
games: 15, white: 13%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. f4 e6 7. Nge2 Nge7 
games: 15, white: 13%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. f4 e6 7. Nge2 Nge7 
games: 14, white: 14%, black: 64%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. f4 e6 7. Nge2
games: 14, white: 14%, black: 64%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 d6 6. d3 e6 7. Nge2
games: 14, white: 14%, black: 64%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 e6 6. d3 d6 7. Nge2
games: 14, white: 14%, black: 64%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. f4 e6 7. Nge2
games: 14, white: 14%, black: 64%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. f4 e6 7. Nge2
games: 12, white: 8%, black: 58%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3 Nf6 7. h3 Rb8 8. Nge2 b5 9. Qd2 b4 
games: 12, white: 8%, black: 58%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Be3 Nf6 7. h3 Rb8 8. Nge2 b5 9. Qd2 b4 
games: 12, white: 8%, black: 58%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Be3 Nf6 7. h3 Rb8 8. Nge2 b5 9. Qd2 b4 
games: 21, white: 14%, black: 57%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 d6 6. d3 Nf6 7. O-O Bg4 
games: 20, white: 15%, black: 55%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 d6 6. d3 Nf6 7. O-O Bg4 8. h3
games: 20, white: 15%, black: 55%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 d6 6. d3 Nf6 7. O-O Bg4 8. h3 Bxf3 
games: 57, white: 10%, black: 50%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 d6 6. d3 Nf6 
games: 18, white: 27%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3 e6 7. f4 Nge7 8. Nf3 b6 9. O-O
games: 18, white: 27%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. f4 e6 7. Nf3 Nge7 8. Be3 b6 9. O-O
games: 18, white: 27%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 e6 6. Be3 d6 7. f4 Nge7 8. Nf3 b6 9. O-O
games: 18, white: 27%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 d6 6. d3 e6 7. Nf3 Nge7 8. Be3 b6 9. O-O
games: 18, white: 27%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. f4 e6 6. d3 d6 7. Nf3 Nge7 8. Be3 b6 9. O-O
games: 18, white: 27%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Be3 e6 7. f4 Nge7 8. Nf3 b6 9. O-O
games: 18, white: 27%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. f4 e6 7. Nf3 Nge7 8. Be3 b6 9. O-O
games: 18, white: 27%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 e6 6. Be3 d6 7. f4 Nge7 8. Nf3 b6 9. O-O
games: 18, white: 27%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. Be3 e6 7. f4 Nge7 8. Nf3 b6 9. O-O
games: 18, white: 27%, black: 66%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 d6 5. Bg2 Bg7 6. f4 e6 7. Nf3 Nge7 8. Be3 b6 9. O-O
games: 18, white: 22%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3 Rb8 7. Qd2 b5 8. f4 b4 9. Nd1 Qc7 
games: 18, white: 22%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 Rb8 6. Be3 d6 7. Qd2 b5 8. f4 b4 9. Nd1 Qc7 
games: 18, white: 22%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 Rb8 6. Be3 b5 7. Qd2 d6 8. f4 b4 9. Nd1 Qc7 
games: 18, white: 22%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 d6 6. Be3 Rb8 7. Qd2 b5 8. f4 b4 9. Nd1 Qc7 
games: 18, white: 22%, black: 61%, pgn:1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. d3 Bg7 5. Bg2 Rb8 6. Be3 d6 7. Qd2 b5 8. f4 b4 9. Nd1 Qc7 
