games: 22516, white: 37%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3
games: 18685, white: 37%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 
games: 7515, white: 39%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3
games: 7227, white: 38%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 
games: 7021, white: 37%, black: 25%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 
games: 6608, white: 37%, black: 25%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3
games: 5190, white: 39%, black: 28%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4
games: 4637, white: 36%, black: 26%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 
games: 4232, white: 36%, black: 31%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 a6 
games: 3085, white: 36%, black: 25%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Bd3
games: 2274, white: 39%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 
games: 1852, white: 37%, black: 20%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 c5 
games: 1568, white: 38%, black: 31%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. Be3 c6 5. Qd2
games: 1544, white: 41%, black: 28%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. f4
games: 1527, white: 31%, black: 34%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. Nf3 d6 
games: 1487, white: 41%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. f4 d5 5. e5
games: 1468, white: 37%, black: 33%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 a6 
games: 1468, white: 37%, black: 33%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 d6 
games: 1443, white: 36%, black: 28%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 Nf6 5. Nf3 O-O 6. Bd3 Na6 
games: 1359, white: 40%, black: 29%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 c6 4. f4 d5 
games: 1311, white: 39%, black: 31%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 d6 4. f4 a6 5. Nf3
games: 1311, white: 39%, black: 31%, pgn:1. e4 g6 2. d4 Bg7 3. Nc3 a6 4. f4 d6 5. Nf3
