games: 266, white: 19%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Ngf3 b6 8. Bd3 Bb7 9. Ne5 Nc6 , forced: 0
games: 266, white: 19%, black: 34%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O 7. c3 b6 8. Bd3 Bb7 9. Ne5 Nc6 , forced: 0
games: 434, white: 29%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 cxd4 7. exd4 Nh5 , forced: 0
games: 434, white: 29%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 cxd4 7. exd4 Nh5 , forced: 0
games: 434, white: 29%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 cxd4 7. exd4 Nh5 , forced: 0
games: 475, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 cxd4 , forced: 0
games: 434, white: 29%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 cxd4 7. exd4 Nh5 , forced: 0
games: 475, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 cxd4 , forced: 0
games: 434, white: 29%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 cxd4 7. exd4 Nh5 , forced: 0
games: 475, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 cxd4 , forced: 0
games: 434, white: 29%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 6. Nbd2 cxd4 7. exd4 Nh5 , forced: 0
games: 475, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 cxd4 , forced: 0
games: 475, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 cxd4 , forced: 0
games: 475, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 6. Nbd2 cxd4 , forced: 0
games: 1477, white: 29%, black: 27%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 , forced: 0
games: 459, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 cxd4 7. exd4, forced: 0
games: 1477, white: 29%, black: 27%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 , forced: 0
games: 459, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 cxd4 7. exd4, forced: 0
games: 459, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 cxd4 7. exd4, forced: 0
games: 459, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 cxd4 7. exd4, forced: 0
games: 459, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 cxd4 7. exd4, forced: 0
games: 151, white: 19%, black: 39%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Ngf3 b6 8. Bd3 Bb7 9. Ne5 Nc6 10. f4 Ne7 , forced: 0
games: 459, white: 30%, black: 31%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 6. Nbd2 cxd4 7. exd4, forced: 0
games: 151, white: 19%, black: 39%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O 7. c3 b6 8. Bd3 Bb7 9. Ne5 Nc6 10. f4 Ne7 , forced: 0
games: 162, white: 21%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Ngf3 b6 8. Bd3 Bb7 9. Ne5 Nc6 10. f4, forced: 0
games: 162, white: 21%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O 7. c3 b6 8. Bd3 Bb7 9. Ne5 Nc6 10. f4, forced: 0
games: 1251, white: 31%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3, forced: 0
games: 1251, white: 31%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3, forced: 0
games: 140, white: 29%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 Nh5 , forced: 0
games: 140, white: 29%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 Nh5 , forced: 0
games: 140, white: 29%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 Nh5 , forced: 0
games: 140, white: 29%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 Nh5 , forced: 0
games: 140, white: 29%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 Nh5 , forced: 0
games: 482, white: 32%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Ngf3, forced: 0
games: 140, white: 29%, black: 37%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 6. Nbd2 Nh5 , forced: 0
games: 482, white: 32%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O 7. c3, forced: 0
games: 188, white: 28%, black: 30%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Bd3, forced: 0
games: 188, white: 28%, black: 30%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Bd3, forced: 0
games: 935, white: 33%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 , forced: 0
games: 935, white: 33%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 , forced: 0
games: 3086, white: 32%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3, forced: 0
games: 344, white: 29%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3, forced: 0
games: 3086, white: 32%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3, forced: 0
games: 3086, white: 32%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2, forced: 0
games: 139, white: 23%, black: 30%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Bd3 Bd6 , forced: 0
games: 3086, white: 32%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3, forced: 0
games: 110, white: 17%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Ngf3 b6 8. Bd3 Bb7 9. Ne5 Nc6 10. O-O, forced: 0
games: 139, white: 23%, black: 30%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Bd3 Bd6 , forced: 0
games: 3086, white: 32%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3, forced: 0
games: 110, white: 17%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O 7. c3 b6 8. Bd3 Bb7 9. Ne5 Nc6 10. O-O, forced: 0
games: 172, white: 29%, black: 30%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Bd6 6. Bg3, forced: 0
games: 3086, white: 32%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 6. Nbd2, forced: 0
games: 123, white: 25%, black: 33%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Bd3, forced: 0
games: 172, white: 29%, black: 30%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Bd6 6. Bg3, forced: 0
games: 253, white: 28%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Ngf3 Qc7 , forced: 0
games: 253, white: 28%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O 7. c3 Qc7 , forced: 0
games: 1566, white: 32%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 , forced: 0
games: 58, white: 12%, black: 43%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O 6. c3 c5 7. Bd3 Qc7 , forced: 0
games: 314, white: 33%, black: 27%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 c5 6. Ngf3 O-O , forced: 0
games: 370, white: 29%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 , forced: 0
games: 204, white: 27%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 Bd6 5. Bg3 O-O , forced: 0
games: 278, white: 32%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 cxd4 7. exd4 Nh5 8. Be3 Bd6 , forced: 0
games: 278, white: 32%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 cxd4 7. exd4 Nh5 8. Be3 Bd6 , forced: 0
games: 278, white: 32%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 cxd4 7. exd4 Nh5 8. Be3 Bd6 , forced: 0
games: 278, white: 32%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 cxd4 7. exd4 Nh5 8. Be3 Bd6 , forced: 0
games: 278, white: 32%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 cxd4 7. exd4 Nh5 8. Be3 Bd6 , forced: 0
games: 278, white: 32%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 6. Nbd2 cxd4 7. exd4 Nh5 8. Be3 Bd6 , forced: 0
games: 105, white: 23%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Bd3 Bd6 7. Bxd6, forced: 1
games: 105, white: 23%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Bd3 Bd6 7. Bxd6, forced: 1
games: 105, white: 23%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Bd3 Bd6 7. Bxd6 Qxd6 , forced: 1
games: 2552, white: 33%, black: 23%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3, forced: 0
games: 192, white: 33%, black: 28%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5 g6 , forced: 0
games: 105, white: 23%, black: 32%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Bd3 Bd6 7. Bxd6 Qxd6 , forced: 1
games: 217, white: 31%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5, forced: 0
games: 192, white: 33%, black: 28%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5 g6 , forced: 0
games: 217, white: 31%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5, forced: 0
games: 193, white: 30%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 , forced: 0
games: 192, white: 33%, black: 28%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5 g6 , forced: 0
games: 217, white: 31%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5, forced: 0
games: 192, white: 33%, black: 28%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5 g6 , forced: 0
games: 217, white: 31%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5, forced: 0
games: 289, white: 33%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. c3 Nc6 6. Ngf3 cxd4 7. exd4 Nh5 8. Be3, forced: 0
games: 192, white: 33%, black: 28%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5 g6 , forced: 0
games: 217, white: 31%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5, forced: 0
games: 289, white: 33%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nd2 c5 5. Ngf3 Nc6 6. c3 cxd4 7. exd4 Nh5 8. Be3, forced: 0
games: 192, white: 33%, black: 28%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 6. Nbd2 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5 g6 , forced: 0
games: 217, white: 31%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nf3 Nc6 6. Nbd2 cxd4 7. exd4 Nh5 8. Be3 Bd6 9. Ne5, forced: 0
games: 289, white: 33%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. c3 Nc6 6. Nbd2 cxd4 7. exd4 Nh5 8. Be3, forced: 0
games: 289, white: 33%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. Nf3 c5 5. Nbd2 Nc6 6. c3 cxd4 7. exd4 Nh5 8. Be3, forced: 0
games: 289, white: 33%, black: 26%, pgn:1. d4 d5 2. Bf4 Nf6 3. e3 e6 4. c3 c5 5. Nd2 Nc6 6. Ngf3 cxd4 7. exd4 Nh5 8. Be3, forced: 0
