games: 68, white: 32%, black: 33%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Bg4 
games: 57, white: 31%, black: 33%, forced: 4, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3 Bg4 7. h3
games: 380, white: 32%, black: 31%, forced: 0, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 
games: 367, white: 30%, black: 27%, forced: 1, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 
games: 367, white: 30%, black: 26%, forced: 2, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4
games: 325, white: 30%, black: 26%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 
games: 19, white: 15%, black: 36%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. f3 Bd7 
games: 64, white: 29%, black: 28%, forced: 4, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Bd3 Nc6 
games: 555, white: 34%, black: 28%, forced: 1, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3
games: 31, white: 22%, black: 38%, forced: 2, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 
games: 239, white: 30%, black: 24%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Nf3
games: 55, white: 30%, black: 40%, forced: 0, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e4
games: 27, white: 33%, black: 40%, forced: 5, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. h3 Nc6 7. Nf3
games: 64, white: 29%, black: 26%, forced: 3, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 a6 6. Bd3
games: 21, white: 23%, black: 33%, forced: 2, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 cxd4 5. exd4 Bg4 6. f3
games: 123, white: 42%, black: 34%, forced: 1, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 
games: 79, white: 39%, black: 31%, forced: 1, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 e6 
games: 87, white: 44%, black: 32%, forced: 1, pgn:1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. e3 a6 5. dxc5
