games: 188, white: 33%, black: 34%, forced: 0, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nge2 c6 
games: 246, white: 33%, black: 32%, forced: 9, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. Re1 c6 8. a4 exd4 9. Nxd4 Ne5 
games: 300, white: 33%, black: 31%, forced: 7, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. Re1 c6 8. a4 exd4 
games: 273, white: 34%, black: 33%, forced: 1, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Be2
games: 246, white: 33%, black: 32%, forced: 7, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. a4 c6 8. Re1 exd4 9. Nxd4 Ne5 
games: 300, white: 33%, black: 31%, forced: 5, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. a4 c6 8. Re1 exd4 
games: 246, white: 33%, black: 32%, forced: 7, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. a4 O-O 7. O-O c6 8. Re1 exd4 9. Nxd4 Ne5 
games: 300, white: 33%, black: 31%, forced: 5, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. a4 O-O 7. O-O c6 8. Re1 exd4 
games: 272, white: 34%, black: 30%, forced: 8, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. Re1 c6 8. a4 exd4 9. Nxd4
games: 272, white: 34%, black: 30%, forced: 6, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. O-O O-O 7. a4 c6 8. Re1 exd4 9. Nxd4
games: 272, white: 34%, black: 30%, forced: 6, pgn:1. e4 d6 2. d4 Nf6 3. Nc3 e5 4. Nf3 Nbd7 5. Bc4 Be7 6. a4 O-O 7. O-O c6 8. Re1 exd4 9. Nxd4
