games: 590, white: 32%, black: 26%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Nf3 g6 
games: 310, white: 34%, black: 32%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Bc4 Bg4 
games: 316, white: 36%, black: 29%, forced: 1, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Ne5
games: 316, white: 36%, black: 29%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Ne5 Bf5 7. Bc4
games: 323, white: 37%, black: 29%, forced: 2, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 
games: 323, white: 37%, black: 29%, forced: 1, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 
games: 4250, white: 35%, black: 23%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 
games: 209, white: 35%, black: 30%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Bc4 Bg4 6. f3
games: 960, white: 38%, black: 27%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Bc4
games: 900, white: 39%, black: 28%, forced: 1, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb6 
games: 546, white: 31%, black: 19%, forced: 4, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 
games: 992, white: 40%, black: 27%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4
