games: 310, white: 34%, black: 32%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bc4 Bg4 
games: 310, white: 34%, black: 32%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 Nf6 5. d4 Bg4 
games: 316, white: 36%, black: 29%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Ne5
games: 316, white: 36%, black: 29%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Ne5 Bf5 7. Bc4
games: 316, white: 36%, black: 29%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Ne5
games: 137, white: 37%, black: 34%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 
games: 209, white: 35%, black: 30%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bc4 Bg4 6. f3
games: 209, white: 35%, black: 30%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 Nf6 5. d4 Bg4 6. f3
games: 316, white: 36%, black: 29%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Ne5 Bf5 7. Bc4
games: 137, white: 37%, black: 34%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 
games: 323, white: 37%, black: 29%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 
games: 137, white: 37%, black: 34%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 
games: 323, white: 37%, black: 29%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 
games: 323, white: 37%, black: 29%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Ne5 e6 
games: 137, white: 37%, black: 34%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 
games: 323, white: 37%, black: 29%, forced: 1, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Ne5 Bf5 7. Bc4 e6 
games: 120, white: 39%, black: 34%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4
games: 120, white: 39%, black: 34%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 9. h4
games: 70, white: 24%, black: 27%, forced: 8, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3 Bxc3 11. Bxc3 Qc7 
games: 120, white: 39%, black: 34%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4
games: 104, white: 34%, black: 33%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 c6 
games: 70, white: 24%, black: 27%, forced: 8, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3 Bxc3 11. Bxc3 Qc7 
games: 120, white: 39%, black: 34%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 9. h4
games: 145, white: 35%, black: 29%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bc4 Bg4 6. f3 Bf5 
games: 68, white: 25%, black: 27%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3
games: 960, white: 38%, black: 27%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bc4
games: 145, white: 35%, black: 29%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 Nf6 5. d4 Bg4 6. f3 Bf5 
games: 68, white: 25%, black: 27%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3
games: 68, white: 25%, black: 27%, forced: 6, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3 Bxc3 
games: 960, white: 38%, black: 27%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 Nf6 5. d4
games: 68, white: 25%, black: 27%, forced: 6, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3 Bxc3 
games: 68, white: 25%, black: 27%, forced: 7, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3 Bxc3 11. Bxc3
games: 68, white: 25%, black: 27%, forced: 7, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O Nbd7 10. a3 Bxc3 11. Bxc3
games: 169, white: 28%, black: 20%, forced: 8, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 10. a3 Bxc3 11. Bxc3 Qc7 
games: 86, white: 32%, black: 29%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 
games: 169, white: 28%, black: 20%, forced: 8, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 10. a3 Bxc3 11. Bxc3 Qc7 
games: 163, white: 28%, black: 20%, forced: 6, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 10. a3 Bxc3 
games: 546, white: 31%, black: 19%, forced: 4, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 
games: 86, white: 32%, black: 29%, forced: 2, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 
games: 163, white: 28%, black: 20%, forced: 6, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 10. a3 Bxc3 
games: 163, white: 28%, black: 20%, forced: 7, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 10. a3 Bxc3 11. Bxc3
games: 546, white: 31%, black: 19%, forced: 4, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 
games: 163, white: 28%, black: 20%, forced: 7, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 10. a3 Bxc3 11. Bxc3
games: 643, white: 40%, black: 28%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4
games: 117, white: 41%, black: 34%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Bc4 Nc6 
games: 117, white: 41%, black: 34%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Bc4 Nf6 5. d4 Nc6 
games: 178, white: 29%, black: 20%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 10. a3
games: 178, white: 29%, black: 20%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2 Bb4 9. O-O-O Nbd7 10. a3
games: 92, white: 41%, black: 34%, forced: 6, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7 Nxd7 
games: 594, white: 32%, black: 19%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2
games: 92, white: 41%, black: 34%, forced: 5, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7 Nxd7 
games: 92, white: 41%, black: 34%, forced: 6, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Ne5 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7 Nxd7 
games: 594, white: 32%, black: 19%, forced: 3, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 c6 5. Nf3 Nf6 6. Bc4 Bf5 7. Qe2 e6 8. Bd2
games: 5662, white: 38%, black: 23%, forced: 0, pgn:1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4
