games: 505, white: 43%, black: 24%, forced: 1, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Nc6 
games: 87, white: 45%, black: 19%, forced: 2, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Nc6 9. Nf3 Bg4 10. Be2
games: 505, white: 43%, black: 24%, forced: 2, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 Nc6 8. Be3 e6 
games: 87, white: 45%, black: 19%, forced: 3, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 Nc6 8. Be3 e6 9. Nf3 Bg4 10. Be2
games: 495, white: 43%, black: 23%, forced: 1, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 Nc6 8. Be3
games: 502, white: 41%, black: 24%, forced: 2, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Nc6 9. Nf3
games: 502, white: 41%, black: 24%, forced: 3, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 Nc6 8. Be3 e6 9. Nf3
games: 13, white: 61%, black: 23%, forced: 4, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Nc6 9. Nf3 Nb4 10. Rc1 c5 11. a3
games: 13, white: 61%, black: 23%, forced: 5, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 Nc6 8. Be3 e6 9. Nf3 Nb4 10. Rc1 c5 11. a3
games: 12, white: 58%, black: 25%, forced: 5, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Be3 Nc6 9. Nf3 Nb4 10. Rc1 c5 11. a3 cxd4 
games: 12, white: 58%, black: 25%, forced: 6, pgn:1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 Nc6 8. Be3 e6 9. Nf3 Nb4 10. Rc1 c5 11. a3 cxd4 
