games: 678, white: 30%, black: 28%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3
games: 391, white: 32%, black: 30%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 
games: 592, white: 28%, black: 28%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 
games: 303, white: 29%, black: 29%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4
games: 179, white: 25%, black: 26%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. O-O
games: 40, white: 42%, black: 30%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Bd6 
games: 178, white: 26%, black: 29%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+
games: 55, white: 32%, black: 27%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. c4 c6 
games: 279, white: 25%, black: 30%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 
games: 59, white: 32%, black: 28%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. c4
games: 43, white: 34%, black: 30%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Bd6 
games: 30, white: 33%, black: 26%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 bxc6 7. Bc4
games: 22, white: 31%, black: 13%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Bd6 6. Qe2+
games: 157, white: 24%, black: 31%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 
games: 157, white: 24%, black: 31%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6
games: 74, white: 28%, black: 31%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3
games: 90, white: 23%, black: 28%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 Nxc6 7. d4 Bd6 
games: 81, white: 20%, black: 24%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. O-O Be7 
games: 99, white: 22%, black: 29%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 Nxc6 7. d4
games: 35, white: 31%, black: 31%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 bxc6 
games: 52, white: 23%, black: 26%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 Nxc6 7. d4 Bd6 8. O-O
games: 89, white: 23%, black: 30%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. O-O Be6 
games: 12, white: 41%, black: 16%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 bxc6 7. Bc4 Bd6 8. Qe2+
games: 52, white: 23%, black: 26%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 Nxc6 7. d4 Bd6 8. O-O O-O 
games: 17, white: 23%, black: 17%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Bd6 6. Qe2+ Qe7 7. Qxe7+
games: 18, white: 22%, black: 16%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Bd6 6. Qe2+ Qe7 
games: 121, white: 20%, black: 33%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 Nxc6 
games: 13, white: 38%, black: 30%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Nxd5 6. Bc4
games: 93, white: 24%, black: 37%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. Bxd5
games: 11, white: 36%, black: 27%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bb5+ c6 6. dxc6 Nxc6 7. d4 Bd6 8. O-O O-O 9. c3
games: 20, white: 30%, black: 30%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. O-O Be6 7. Qe2
games: 65, white: 26%, black: 38%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Nc3 Nxd5 
games: 97, white: 23%, black: 40%, pgn:1. e4 e5 2. f4 d5 3. exd5 exf4 4. Nf3 Nf6 5. Bc4 Nxd5 6. Bxd5 Qxd5 
