games: 869, white: 42%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. c4 Bg7 4. g3 c5 5. Bg2 Nc6 6. Nf3 O-O 7. O-O, forced: 1
games: 1978, white: 42%, black: 18%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4, forced: 0
games: 1826, white: 40%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O, forced: 0
games: 1740, white: 41%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 , forced: 0
games: 1826, white: 40%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O, forced: 0
games: 1740, white: 41%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 , forced: 0
games: 732, white: 43%, black: 18%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 Nbd7 7. O-O, forced: 0
games: 1550, white: 41%, black: 19%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 , forced: 0
games: 486, white: 43%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O a5 , forced: 0
games: 600, white: 44%, black: 19%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 Nbd7 , forced: 0
games: 486, white: 43%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O a5 , forced: 0
games: 815, white: 41%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. c4 Bg7 4. g3 c5 5. Bg2 Nc6 6. Nf3 O-O , forced: 1
games: 611, white: 42%, black: 17%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Bd6 5. e3 Nbd7 6. Nc3 O-O 7. Qc2 c6 , forced: 0
games: 735, white: 40%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. c4 Bg7 4. g3 c5 5. Bg2 Nc6 6. Nf3 O-O 7. O-O d6 8. d4, forced: 1
games: 2739, white: 40%, black: 19%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3, forced: 0
games: 352, white: 47%, black: 20%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. g3 Be7 5. Bg2 O-O 6. c4 c6 7. O-O Nbd7 , forced: 0
games: 352, white: 47%, black: 20%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. g3 O-O 6. Bg2 c6 7. O-O Nbd7 , forced: 1
games: 352, white: 47%, black: 20%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. g3 Be7 6. Bg2 O-O 7. O-O Nbd7 , forced: 1
games: 686, white: 40%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4, forced: 0
games: 365, white: 43%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 c5 7. c4, forced: 0
games: 686, white: 40%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4, forced: 0
games: 365, white: 43%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. c4 c5 7. d4, forced: 0
games: 365, white: 43%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 c5 6. c4 d6 7. d4, forced: 0
games: 365, white: 43%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. c4 Bg7 4. g3 c5 5. Bg2 O-O 6. Nf3 d6 7. d4, forced: 1
games: 625, white: 42%, black: 19%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 c5 , forced: 0
games: 275, white: 44%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O a5 8. d3, forced: 0
games: 275, white: 44%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O a5 8. d3, forced: 0
games: 896, white: 40%, black: 19%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 c5 6. c4, forced: 0
games: 896, white: 40%, black: 19%, pgn:1. b3 Nf6 2. Bb2 g6 3. c4 Bg7 4. g3 c5 5. Bg2 O-O 6. Nf3, forced: 1
games: 730, white: 39%, black: 18%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. e3 O-O 6. Nc3, forced: 0
games: 410, white: 41%, black: 18%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 c5 , forced: 0
games: 335, white: 42%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O Nbd7 , forced: 0
games: 335, white: 42%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. O-O Nbd7 7. c4 c6 , forced: 1
games: 882, white: 39%, black: 19%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 , forced: 0
games: 335, white: 42%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O Nbd7 , forced: 0
games: 335, white: 42%, black: 17%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. O-O Nbd7 7. c4 c6 , forced: 1
games: 882, white: 39%, black: 19%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O , forced: 0
games: 290, white: 43%, black: 18%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d6 6. d4 c6 , forced: 0
games: 383, white: 43%, black: 22%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. g3 Be7 5. Bg2 O-O 6. c4 c6 7. O-O, forced: 0
games: 383, white: 43%, black: 22%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. g3 O-O 6. Bg2 c6 7. O-O, forced: 1
games: 383, white: 43%, black: 22%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 c6 5. g3 Be7 6. Bg2 O-O 7. O-O, forced: 1
games: 1799, white: 38%, black: 21%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. g3 c5 5. Bg2 Be7 6. O-O O-O 7. c4 Nc6 8. e3, forced: 0
games: 1008, white: 37%, black: 19%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. e3, forced: 0
games: 427, white: 36%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O Bg4 8. d3, forced: 0
games: 427, white: 36%, black: 16%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O Bg4 8. d3, forced: 0
games: 145, white: 48%, black: 12%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O Bf5 , forced: 0
games: 145, white: 48%, black: 12%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O Bf5 , forced: 0
games: 145, white: 48%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 c5 6. c4 d5 , forced: 0
games: 145, white: 48%, black: 13%, pgn:1. b3 Nf6 2. Bb2 g6 3. c4 Bg7 4. g3 c5 5. Bg2 O-O 6. Nf3 d5 , forced: 1
games: 920, white: 36%, black: 19%, pgn:1. b3 Nf6 2. Bb2 e6 3. Nf3 d5 4. c4 Be7 5. e3 O-O , forced: 0
games: 132, white: 48%, black: 12%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O Bf5 8. d3, forced: 0
games: 589, white: 36%, black: 18%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 O-O 5. Nf3 d5 6. c4 c6 7. O-O Bg4 , forced: 0
games: 132, white: 48%, black: 12%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O Bf5 8. d3, forced: 0
games: 589, white: 36%, black: 18%, pgn:1. b3 Nf6 2. Bb2 g6 3. g3 Bg7 4. Bg2 d5 5. Nf3 O-O 6. c4 c6 7. O-O Bg4 , forced: 0
