games: 31, white: 77%, black: 19%, pgn:1. e4 c5 2. c3 e6 3. d4 a6 4. Nf3 b5 5. Bd3 Bb7 6. O-O Nf6 7. Nbd2
games: 12, white: 66%, black: 8%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 cxd4 6. cxd4 Nf6 7. Qe2 Nc6 8. a3 Be7 
games: 16, white: 68%, black: 12%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 cxd4 6. cxd4 Nf6 7. Nc3
games: 25, white: 68%, black: 12%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 cxd4 6. cxd4 Nf6 7. Qe2 Nc6 8. a3
games: 12, white: 66%, black: 16%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 cxd4 6. cxd4 Bb4+ 7. Nbd2
games: 30, white: 60%, black: 10%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Ne7 5. Nf3 Nec6 6. Bd3 b6 7. O-O
games: 24, white: 58%, black: 8%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 cxd4 6. cxd4 Nf6 7. Nc3 Qa5 8. Bc4
games: 28, white: 57%, black: 7%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 Nf6 6. Be3 Nc6 7. dxc5
games: 28, white: 57%, black: 7%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5 5. Nf3 Nf6 6. Be3 Nc6 7. dxc5 Qxd1+ 
games: 31, white: 61%, black: 12%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 cxd4 6. cxd4 Nf6 
games: 27, white: 66%, black: 18%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Nc6 5. Nf3 Qb6 6. Be2 Bd7 7. O-O f6 8. dxc5 Bxc5 
games: 27, white: 66%, black: 18%, pgn:1. e4 c5 2. c3 e6 3. d4 d5 4. e5 Qb6 5. Nf3 Nc6 6. Be2 Bd7 7. O-O f6 8. dxc5 Bxc5 
games: 17, white: 64%, black: 17%, pgn:1. e4 c5 2. c3 e6 3. d4 b6 4. Nf3 Bb7 5. Bd3 Nf6 6. Qe2 Be7 7. Nbd2
