games: 1141, white: 45%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Nbd7 6. Bd3 Bd6 7. O-O
games: 950, white: 46%, black: 17%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. g3 Be7 6. Bg2 O-O 7. O-O
games: 1308, white: 44%, black: 14%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Nbd7 6. Bd3 Bd6 
games: 1141, white: 45%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. e3 c6 6. Bd3 Bd6 7. O-O
games: 1308, white: 44%, black: 14%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. e3 c6 6. Bd3 Bd6 
games: 854, white: 45%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. g3 Be7 6. Bg2 O-O 7. O-O Nbd7 
games: 854, white: 45%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. g3 Be7 6. Bg2 Nbd7 7. O-O O-O 
games: 1056, white: 43%, black: 16%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Nbd7 6. Bd3 Bd6 7. O-O O-O 
games: 1056, white: 43%, black: 16%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. e3 c6 6. Bd3 Bd6 7. O-O O-O 
games: 563, white: 45%, black: 14%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Nbd7 6. e3 Be7 7. Qc2
games: 563, white: 45%, black: 14%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Nbd7 6. Qc2 Be7 7. e3
games: 563, white: 45%, black: 14%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Be7 6. e3 Nbd7 7. Qc2
games: 406, white: 48%, black: 14%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Be7 
games: 563, white: 45%, black: 14%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Bg5 c6 6. e3 Be7 7. Qc2
games: 563, white: 45%, black: 14%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Bg5 c6 6. Qc2 Be7 7. e3
games: 979, white: 42%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Nbd7 6. e3 Be7 7. Qc2 O-O 
games: 979, white: 42%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Nbd7 6. Qc2 Be7 7. e3 O-O 
games: 979, white: 42%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Be7 6. e3 Nbd7 7. Qc2 O-O 
games: 979, white: 42%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Be7 6. e3 O-O 7. Qc2 Nbd7 
games: 464, white: 45%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Nbd7 6. Qc2 Be7 
games: 979, white: 42%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Bg5 c6 6. e3 Be7 7. Qc2 O-O 
games: 979, white: 42%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Bg5 c6 6. Qc2 Be7 7. e3 O-O 
games: 464, white: 45%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Be7 6. Qc2 Nbd7 
games: 464, white: 45%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. e3 c6 6. Qc2 Be7 
games: 464, white: 45%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Qc2 c6 6. e3 Be7 
games: 555, white: 43%, black: 17%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Bd6 
games: 392, white: 46%, black: 18%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. g3 Be7 6. Bg2 O-O 
games: 1210, white: 40%, black: 12%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Nbd7 6. e3 Be7 
games: 540, white: 43%, black: 10%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Nbd7 6. Bd3 Bd6 7. e4
games: 1210, white: 40%, black: 12%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Be7 6. e3 Nbd7 
games: 540, white: 43%, black: 10%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. e3 c6 6. Bd3 Bd6 7. e4
games: 365, white: 47%, black: 16%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. g3 Be7 6. Bg2 O-O 7. O-O b6 
games: 1210, white: 40%, black: 12%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Bg5 c6 6. e3 Be7 
games: 367, white: 44%, black: 21%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Nbd7 6. Qc2 a6 
games: 273, white: 47%, black: 13%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Be7 6. Bd3
games: 1054, white: 39%, black: 12%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Be7 6. e3
games: 367, white: 44%, black: 21%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 a6 6. Qc2 Nbd7 
games: 367, white: 44%, black: 21%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. e3 c6 6. Qc2 a6 
games: 367, white: 44%, black: 21%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Nbd7 5. Qc2 c6 6. e3 a6 
games: 950, white: 39%, black: 13%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. Bg5 Be7 
games: 200, white: 52%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 Bb4 5. Bg5 dxc4 6. e4 b5 7. a4 c6 
games: 378, white: 43%, black: 15%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c6 5. e3 Bd6 6. Bd3
