games: 17, white: 11%, black: 70%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 Nc6 9. a3 O-O 10. O-O Bf6 11. Bc2 Nxc3 12. bxc3 b6 
games: 18, white: 16%, black: 66%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 Nc6 9. a3 O-O 10. O-O Bf6 11. Bc2 Nxc3 
games: 15, white: 13%, black: 66%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 Nc6 9. a3 O-O 10. O-O Bf6 11. Bc2 Nxc3 12. bxc3 b6 13. Qd3
games: 15, white: 13%, black: 66%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 Nc6 9. a3 O-O 10. O-O Bf6 11. Bc2 Nxc3 12. bxc3 b6 13. Qd3 g6 
games: 11, white: 27%, black: 63%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 a6 5. Nf3 dxc4 6. Bxc4 b5 7. Bd3 Bb7 8. Qe2 c5 
games: 19, white: 21%, black: 63%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 Nc6 9. a3 O-O 10. O-O Bf6 11. Bc2 Nxc3 12. bxc3
games: 18, white: 22%, black: 55%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 a6 5. Nf3 dxc4 6. Bxc4 b5 7. Be2 Bb7 8. O-O Nbd7 9. b3 Bd6 10. Bb2 O-O 
games: 11, white: 27%, black: 54%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 Nc6 9. a3 O-O 10. O-O Bf6 11. Bc2 Nxc3 12. bxc3 b6 13. Qd3 g6 14. Bh6
games: 14, white: 35%, black: 50%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. c5 O-O 8. b4 Ne4 
games: 10, white: 30%, black: 50%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 Nc6 9. O-O O-O 10. Re1 Bf6 11. Bb1
games: 10, white: 30%, black: 50%, pgn:1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. e3 c5 5. Nf3 cxd4 6. exd4 Be7 7. cxd5 Nxd5 8. Bd3 O-O 9. O-O Nc6 10. Re1 Bf6 11. Bb1
